Replicate,SSE,RMSE,TimeTaken,NumParams,Hidden Layers,Layer Dimensions,niters,data size,batch time,batch size
0,14.711750030517578,0.09643372148275375,370.805260181427,157,1,(10),5000,150,16,256
1,47.3045768737793,0.17292124032974243,376.06624698638916,157,1,(10),5000,150,16,256
2,25.2851619720459,0.12642402946949005,386.47895860671997,157,1,(10),5000,150,16,256
3,14.06478500366211,0.09428948909044266,392.4271056652069,157,1,(10),5000,150,16,256
4,20.52459144592285,0.11390270292758942,396.6743540763855,157,1,(10),5000,150,16,256
5,55.868709564208984,0.18792349100112915,396.1822645664215,157,1,(10),5000,150,16,256
6,15.028539657592773,0.09746644645929337,398.25838327407837,157,1,(10),5000,150,16,256
7,17.951753616333008,0.10652466863393784,401.40297412872314,157,1,(10),5000,150,16,256
8,11.166275024414062,0.08401385694742203,397.9632031917572,157,1,(10),5000,150,16,256
9,12.964750289916992,0.09052714705467224,398.0659396648407,157,1,(10),5000,150,16,256
0,26.552644729614258,0.12955394387245178,405.99400067329407,307,1,(20),5000,150,16,256
1,18.48919677734375,0.10810748487710953,403.5316605567932,307,1,(20),5000,150,16,256
2,43.82701110839844,0.1664438247680664,409.1775348186493,307,1,(20),5000,150,16,256
3,37.32388687133789,0.15359963476657867,409.49464559555054,307,1,(20),5000,150,16,256
4,16.330764770507812,0.10160147398710251,403.8585352897644,307,1,(20),5000,150,16,256
5,20.653596878051758,0.11426010727882385,403.78131890296936,307,1,(20),5000,150,16,256
6,8.646819114685059,0.07393072545528412,403.3400173187256,307,1,(20),5000,150,16,256
7,10.452898025512695,0.08128588646650314,404.1454060077667,307,1,(20),5000,150,16,256
8,42.98896789550781,0.164844810962677,405.1122226715088,307,1,(20),5000,150,16,256
9,20.426603317260742,0.11363048106431961,404.0105564594269,307,1,(20),5000,150,16,256
0,24.39643096923828,0.12418235838413239,412.15901923179626,457,1,(30),5000,150,16,256
1,26.673486709594727,0.1298484206199646,413.68706154823303,457,1,(30),5000,150,16,256
2,23.766529083251953,0.12256871908903122,415.8280372619629,457,1,(30),5000,150,16,256
3,18.533632278442383,0.10823731869459152,413.9532563686371,457,1,(30),5000,150,16,256
4,17.609394073486328,0.10550400614738464,409.79354786872864,457,1,(30),5000,150,16,256
5,22.97579574584961,0.12051248550415039,409.1096074581146,457,1,(30),5000,150,16,256
6,23.71007537841797,0.12242306023836136,410.34562706947327,457,1,(30),5000,150,16,256
7,23.573741912841797,0.12207058817148209,411.52719712257385,457,1,(30),5000,150,16,256
8,38.79676818847656,0.15660099685192108,416.95111060142517,457,1,(30),5000,150,16,256
9,22.389957427978516,0.11896614730358124,411.7998857498169,457,1,(30),5000,150,16,256
0,25.92855453491211,0.12802238762378693,417.3007209300995,607,1,(40),5000,150,16,256
1,24.901704788208008,0.12546174228191376,413.61893796920776,607,1,(40),5000,150,16,256
2,27.71712875366211,0.13236430287361145,416.1388473510742,607,1,(40),5000,150,16,256
3,28.368318557739258,0.1339101642370224,413.42801547050476,607,1,(40),5000,150,16,256
4,25.19062042236328,0.12618745863437653,414.63782024383545,607,1,(40),5000,150,16,256
5,31.994586944580078,0.14221160113811493,415.7266733646393,607,1,(40),5000,150,16,256
6,25.804048538208008,0.1277146339416504,412.49083495140076,607,1,(40),5000,150,16,256
7,26.41046714782715,0.12920662760734558,413.3183069229126,607,1,(40),5000,150,16,256
8,36.93050003051758,0.15278804302215576,411.566264629364,607,1,(40),5000,150,16,256
9,39.37886047363281,0.15777142345905304,415.5706715583801,607,1,(40),5000,150,16,256
0,30.932300567626953,0.1398308128118515,418.9796736240387,757,1,(50),5000,150,16,256
1,34.13745880126953,0.14689680933952332,421.3239178657532,757,1,(50),5000,150,16,256
2,37.11201095581055,0.15316306054592133,414.73301100730896,757,1,(50),5000,150,16,256
3,42.14228057861328,0.16321338713169098,419.44084548950195,757,1,(50),5000,150,16,256
4,35.93072509765625,0.1507057249546051,419.4834530353546,757,1,(50),5000,150,16,256
5,28.801515579223633,0.13492873311042786,419.4776544570923,757,1,(50),5000,150,16,256
6,27.20539665222168,0.1311367154121399,421.67168736457825,757,1,(50),5000,150,16,256
7,28.933982849121094,0.1352386623620987,417.28061056137085,757,1,(50),5000,150,16,256
8,36.386474609375,0.15165849030017853,416.7674069404602,757,1,(50),5000,150,16,256
9,24.75448226928711,0.1250903159379959,417.4438281059265,757,1,(50),5000,150,16,256
