Replicate,SSE,RMSE,TimeTaken,NumParams,Hidden Layers,Layer Dimensions,niters,data size,batch time,batch size
0,986.8285522460938,0.7898008823394775,45.414851665496826,157,1,(10),5000,150,16,256
1,436.700927734375,0.5253984928131104,45.84036731719971,157,1,(10),5000,150,16,256
2,306.503662109375,0.44016405940055847,48.07625460624695,157,1,(10),5000,150,16,256
3,249.6092529296875,0.3972163200378418,46.80998730659485,157,1,(10),5000,150,16,256
4,231.4788818359375,0.3825185000896454,47.847304344177246,157,1,(10),5000,150,16,256
0,300.7296142578125,0.4359983801841736,49.7629337310791,307,1,(20),5000,150,16,256
1,78.9749984741211,0.22343003749847412,49.56789517402649,307,1,(20),5000,150,16,256
2,499.9618225097656,0.5621667504310608,49.542657136917114,307,1,(20),5000,150,16,256
3,134.09083557128906,0.2911362648010254,49.80553150177002,307,1,(20),5000,150,16,256
4,270.227294921875,0.4132961630821228,49.443713903427124,307,1,(20),5000,150,16,256
0,252.5482635498047,0.3995479941368103,51.692498445510864,457,1,(30),5000,150,16,256
1,316.8524169921875,0.4475332200527191,51.7544059753418,457,1,(30),5000,150,16,256
2,148.21556091308594,0.30608615279197693,51.91241121292114,457,1,(30),5000,150,16,256
3,409.3553466796875,0.5086827278137207,51.522022008895874,457,1,(30),5000,150,16,256
4,973.11767578125,0.7842949628829956,51.8340277671814,457,1,(30),5000,150,16,256
0,140.8218231201172,0.298353910446167,53.044567823410034,607,1,(40),5000,150,16,256
1,488.73223876953125,0.5558175444602966,53.291871786117554,607,1,(40),5000,150,16,256
2,411.0575866699219,0.5097392797470093,52.99628019332886,607,1,(40),5000,150,16,256
3,534.7315063476562,0.5813860893249512,52.500757932662964,607,1,(40),5000,150,16,256
4,478.2644348144531,0.5498329997062683,52.71274662017822,607,1,(40),5000,150,16,256
0,159.96669006347656,0.3179886043071747,57.45722246170044,757,1,(50),5000,150,16,256
1,115.57795715332031,0.2702926695346832,57.38355565071106,757,1,(50),5000,150,16,256
2,183.64109802246094,0.3407075107097626,57.15902876853943,757,1,(50),5000,150,16,256
3,471.0625305175781,0.5456774830818176,57.189708948135376,757,1,(50),5000,150,16,256
4,386.3956604003906,0.4942115247249603,57.354175090789795,757,1,(50),5000,150,16,256
