Replicate,SSE,RMSE,TimeTaken,NumParams,Hidden Layers,Layer Dimensions,niters,data size,batch time,batch size
0,738.4837646484375,0.6832305192947388,112.99043989181519,157,1,(10),5000,150,16,256
1,576.9447021484375,0.6038983464241028,115.43777203559875,157,1,(10),5000,150,16,256
2,85.09280395507812,0.23192265629768372,116.37940096855164,157,1,(10),5000,150,16,256
3,541.2913818359375,0.5849413275718689,116.26851511001587,157,1,(10),5000,150,16,256
4,602.7366943359375,0.6172492504119873,116.63767266273499,157,1,(10),5000,150,16,256
5,288.7119140625,0.4271979033946991,118.71072459220886,157,1,(10),5000,150,16,256
6,1000.7596435546875,0.7953561544418335,119.01673364639282,157,1,(10),5000,150,16,256
7,799.3009643554688,0.7108073830604553,118.88240265846252,157,1,(10),5000,150,16,256
8,304.384765625,0.4386399984359741,117.44541549682617,157,1,(10),5000,150,16,256
9,116.98031616210938,0.27192750573158264,119.52410507202148,157,1,(10),5000,150,16,256
0,346.0557861328125,0.46770262718200684,122.43329858779907,307,1,(20),5000,150,16,256
1,686.084716796875,0.6585452556610107,123.27935695648193,307,1,(20),5000,150,16,256
2,526.277099609375,0.5767717957496643,127.46317315101624,307,1,(20),5000,150,16,256
3,173.12672424316406,0.3308101296424866,124.64229202270508,307,1,(20),5000,150,16,256
4,419.9956359863281,0.5152513384819031,124.1483006477356,307,1,(20),5000,150,16,256
5,534.4674072265625,0.5812425017356873,123.38947892189026,307,1,(20),5000,150,16,256
6,77.70970153808594,0.2216329723596573,125.60323643684387,307,1,(20),5000,150,16,256
7,74.6298828125,0.21719667315483093,124.66070032119751,307,1,(20),5000,150,16,256
8,737.209716796875,0.6826408505439758,124.22894406318665,307,1,(20),5000,150,16,256
9,22.786287307739258,0.12001445144414902,125.07472348213196,307,1,(20),5000,150,16,256
0,18.149246215820312,0.10710901767015457,133.4065763950348,457,1,(30),5000,150,16,256
1,466.32403564453125,0.542926013469696,128.76479291915894,457,1,(30),5000,150,16,256
2,146.6697998046875,0.30448585748672485,129.8922884464264,457,1,(30),5000,150,16,256
3,236.1239776611328,0.3863374590873718,131.05220460891724,457,1,(30),5000,150,16,256
4,79.49205017089844,0.22416025400161743,129.09174871444702,457,1,(30),5000,150,16,256
5,137.66232299804688,0.2949879765510559,127.49972105026245,457,1,(30),5000,150,16,256
6,57.39225769042969,0.19046860933303833,131.1850826740265,457,1,(30),5000,150,16,256
7,54.836204528808594,0.18617889285087585,132.16651391983032,457,1,(30),5000,150,16,256
8,222.08924865722656,0.3746800124645233,129.41213726997375,457,1,(30),5000,150,16,256
9,375.7732849121094,0.487371027469635,129.0220673084259,457,1,(30),5000,150,16,256
0,11.957406997680664,0.08693912625312805,134.29489970207214,607,1,(40),5000,150,16,256
1,46.390357971191406,0.1712421327829361,133.7753038406372,607,1,(40),5000,150,16,256
2,178.46412658691406,0.33587077260017395,133.6536295413971,607,1,(40),5000,150,16,256
3,106.94705200195312,0.2600046992301941,131.88007640838623,607,1,(40),5000,150,16,256
4,149.13450622558594,0.3070335388183594,133.8301100730896,607,1,(40),5000,150,16,256
5,70.3370361328125,0.21085737645626068,130.49550771713257,607,1,(40),5000,150,16,256
6,180.80535888671875,0.3380667269229889,134.71985125541687,607,1,(40),5000,150,16,256
7,18.340953826904297,0.10767322033643723,134.61535954475403,607,1,(40),5000,150,16,256
8,19.175355911254883,0.11009522527456284,131.85109519958496,607,1,(40),5000,150,16,256
9,187.6875,0.34444066882133484,136.60471868515015,607,1,(40),5000,150,16,256
0,72.66165161132812,0.21431343257427216,142.77109265327454,757,1,(50),5000,150,16,256
1,94.86331176757812,0.24487581849098206,135.74351525306702,757,1,(50),5000,150,16,256
2,39.49007034301758,0.15799404680728912,143.3956470489502,757,1,(50),5000,150,16,256
3,147.9863739013672,0.3058494031429291,137.30503606796265,757,1,(50),5000,150,16,256
4,22.75591278076172,0.11993443965911865,136.31909084320068,757,1,(50),5000,150,16,256
5,55.07231903076172,0.18657928705215454,139.7370548248291,757,1,(50),5000,150,16,256
6,26.402067184448242,0.12918607890605927,138.46183896064758,757,1,(50),5000,150,16,256
7,247.36215209960938,0.39542433619499207,138.00491905212402,757,1,(50),5000,150,16,256
8,11.439872741699219,0.08503688871860504,137.0799949169159,757,1,(50),5000,150,16,256
9,51.489112854003906,0.18040744960308075,137.41129565238953,757,1,(50),5000,150,16,256
