width,batch-time,learning-rate,replicate,J0_percent_err,J0_fit,J0_true,k2_percent_err,k2_fit,k2_true,k3_percent_err,k3_fit,k3_true,k4_percent_err,k4_fit,k4_true,k5_percent_err,k5_fit,k5_true,k6_percent_err,k6_fit,k6_true,k_percent_err,k_fit,k_true,kappa_percent_err,kappa_fit,kappa_true,psi_percent_err,psi_fit,psi_true,N_percent_err,N_fit,N_true,A_percent_err,A_fit,A_true
15.0,32.0,0.1,12.0,6.1486031260216125e-06,2.499984628492185,2.5,1.4130685124236209e-06,6.0000084784110745,6.0,1.4970558614990637e-06,16.000023952893784,16.0,3.425741439855301e-08,99.99999657425856,100,7.028608299541883e-07,1.2799991003381377,1.28,2.1455552963918953e-07,12.000002574666356,12.0,4.640540252682297e-06,1.8000083529724549,1.8,1.4664984900966042e-06,13.000019064480371,13.0,0.0001643068869386366,0.10001643068869387,0.1,4.862966840657457e-06,0.9999951370331593,1.0,2.3185156315941313e-06,3.9999907259374736,4.0
5.0,64.0,0.1,25.0,4.856060066948942e-06,2.4999878598498326,2.5,3.514389909457331e-07,6.000002108633946,6.0,5.552434652056348e-07,16.000008883895443,16.0,1.9271293325573424e-07,100.00001927129333,100,4.162675104439628e-06,1.2800053282241337,1.28,5.901365579911536e-07,11.999992918361304,12.0,6.053904838296573e-06,1.799989102971291,1.8,9.530879112254262e-07,12.999987609857154,13.0,4.060006393663551e-05,0.09999593999360634,0.1,5.8679700992714245e-06,0.9999941320299007,1.0,4.3846511110778863e-07,4.000001753860444,4.0
5.0,64.0,0.1,14.0,6.254886804946125e-06,2.5000156372170124,2.5,3.0662111667467684e-06,5.9999816027329995,6.0,5.970470873251088e-07,16.000009552753397,16.0,1.247448157926101e-07,99.99998752551842,100,3.4938562048711375e-06,1.2800044721359423,1.28,4.028225129755943e-07,12.000004833870156,12.0,7.107662516202416e-06,1.7999872062074709,1.8,6.712472751994133e-08,12.999999127378542,13.0,0.00034817685875043747,0.09996518231412496,0.1,3.4500693690819872e-06,0.9999965499306309,1.0,4.091981932186073e-06,3.9999836320722713,4.0
5.0,64.0,0.1,4.0,8.178002809700047e-06,2.4999795549929757,2.5,1.8776455334249913e-06,6.0000112658732005,6.0,4.6386248997443147e-07,16.00000742179984,16.0,1.9604922840699147e-08,100.00000196049228,100,7.739786928202819e-06,1.279990093072732,1.28,1.5315875994126316e-06,11.999981620948807,12.0,1.6604162660854232e-06,1.799997011250721,1.8,1.4561338528114202e-08,12.9999998107026,13.0,0.00036245298903003764,0.10003624529890301,0.1,3.1096097704574888e-06,0.9999968903902295,1.0,1.371421067597467e-06,4.00000548568427,4.0
25.0,32.0,0.1,12.0,5.868403763287233e-06,2.499985328990592,2.5,3.0593811869058146e-07,6.000001835628712,6.0,9.122049929866094e-07,15.999985404720112,16.0,1.9134853872060374e-07,99.99998086514613,100,9.939681613196916e-06,1.2799872772075351,1.28,3.6616285411147e-08,12.000000439395425,12.0,1.2673630527753548e-07,1.7999997718746505,1.8,1.3932490033469618e-09,12.999999981887763,13.0,0.00019268774198000216,0.099980731225802,0.1,1.901261196823878e-05,0.9999809873880318,1.0,9.015290709513124e-07,4.000003606116284,4.0
25.0,64.0,0.1,15.0,7.088723441128764e-07,2.4999982278191397,2.5,3.762383441833587e-08,6.0000002257430065,6.0,2.4718391333777845e-08,16.00000039549426,16.0,4.8957542020389155e-08,100.0000048957542,100,1.0510409551543753e-05,1.280013453324226,1.28,3.311260196851388e-06,12.000039735122362,12.0,6.971005940517274e-06,1.800012547810693,1.8,1.0848414775046842e-06,12.999985897060792,13.0,2.845504296869472e-05,0.10000284550429688,0.1,1.3993867893580259e-05,1.0000139938678936,1.0,3.642861920560847e-06,4.000014571447682,4.0
15.0,64.0,0.1,21.0,4.4602997904874545e-06,2.500011150749476,2.5,2.58774925591491e-06,5.9999844735044645,6.0,1.0731266286700958e-07,15.999998282997394,16.0,1.9974703903358203e-07,99.9999800252961,100,4.191819779481021e-06,1.2799946344706823,1.28,1.1964028909794422e-06,11.999985643165308,12.0,3.4778976067961764e-05,1.7999373978430777,1.8,2.86402249471962e-07,12.999996276770757,13.0,0.00018844793425593087,0.1000188447934256,0.1,2.362414542655955e-06,1.0000023624145427,1.0,1.4427351198165184e-06,3.9999942290595207,4.0
15.0,64.0,0.1,24.0,9.010232964179465e-06,2.4999774744175896,2.5,3.052068174191902e-06,5.999981687590955,6.0,5.474187700915678e-07,16.00000875870032,16.0,1.605281369165823e-08,100.00000160528137,100,1.5795174005545087e-06,1.2800020217822727,1.28,5.532123421581048e-07,11.999993361451894,12.0,1.1597747934861186e-05,1.7999791240537173,1.8,1.7807097321473555e-07,12.999997685077348,13.0,9.989322622180885e-05,0.09999001067737782,0.1,2.055859140037697e-06,1.00000205585914,1.0,2.6141270770274616e-06,3.999989543491692,4.0
25.0,64.0,0.1,8.0,1.2101274013076591e-06,2.5000030253185033,2.5,3.679918182027582e-07,6.000002207950909,6.0,7.145924584284202e-07,15.999988566520665,16.0,1.6132485058051317e-07,99.99998386751494,100,1.256220636142863e-05,1.2800160796241427,1.28,2.7361790226147303e-07,12.000003283414827,12.0,6.4760402529451255e-06,1.7999883431275447,1.8,2.0904239486769097e-06,12.999972824488667,13.0,3.6592911889510304e-05,0.10000365929118896,0.1,3.3151997566038816e-06,0.9999966848002434,1.0,1.5668919450817498e-07,4.000000626756778,4.0
5.0,64.0,0.1,27.0,2.3147645320520382e-06,2.49999421308867,2.5,6.792110688695155e-07,5.999995924733587,6.0,1.5319289037307726e-07,16.000002451086246,16.0,2.5645329742474133e-07,100.00002564532974,100,1.0071805166787795e-05,1.2799871080893865,1.28,8.797482461038915e-08,12.000001055697895,12.0,3.3695987268335238e-06,1.7999939347222917,1.8,3.039953023668082e-07,13.00000395193893,13.0,1.3743875088290114e-05,0.10000137438750883,0.1,7.593491662793994e-06,0.9999924065083372,1.0,5.098410560622213e-06,4.0000203936422425,4.0
