width,batch-time,learning-rate,replicate,known_param_strict_train_rmse,known_param_strict_test_rmse,known_param_loose_train_rmse,known_param_loose_test_rmse,unknown_param_train_rmse,unknown_param_test_rmse,NODE_train_rmse,NODE_test_rmse,known_param_strict_attempts,known_param_loose_attempts,unknown_param_attempts,NODE_attempts,loose_param_err,unknown_param_err
15.0,32.0,0.1,12.0,0.17088940739631653,0.09608319401741028,0.1994468867778778,0.08366381376981735,,,0.16104453802108765,0.1395980566740036,1,1,50,1,0.00011268805321842934,
5.0,64.0,0.1,25.0,0.21175462007522583,0.4176996052265167,0.18784350156784058,0.16552941501140594,0.24556675553321838,0.5169028043746948,0.2330816090106964,0.45404675602912903,4,1,1,1,8.97828442037174e-05,37.15147910171799
5.0,64.0,0.1,14.0,0.18470747768878937,0.32912105321884155,0.1387777477502823,0.19147951900959015,0.2007012665271759,0.31440767645835876,0.386105477809906,0.6336988806724548,2,2,1,1,0.00013366982204704447,30.9264981298255
5.0,64.0,0.1,4.0,0.15228776633739471,0.23985467851161957,0.147775799036026,0.28134095668792725,0.14138704538345337,0.3364090621471405,0.401339590549469,0.7393919825553894,1,1,5,1,0.00011739779043318244,28.64145202645878
25.0,32.0,0.1,12.0,0.2080347239971161,0.24445556104183197,0.17209790647029877,0.257798433303833,0.3327427804470062,0.38077667355537415,0.12684659659862518,0.3122231364250183,4,8,42,1,0.00010553269980662083,36.327985226811975
25.0,64.0,0.1,15.0,0.20178522169589996,0.47245389223098755,0.21200384199619293,0.49397990107536316,0.2083013355731964,0.3776484727859497,0.2404269427061081,0.5930197834968567,9,49,19,1,0.00011853918869154934,19.78371184419896
15.0,64.0,0.1,21.0,0.13255301117897034,0.4087306559085846,0.13878478109836578,0.4072119891643524,0.13206128776073456,0.313091903924942,0.13258138298988342,0.4056946933269501,6,2,15,1,0.00016139485014340926,27.81036076745324
15.0,64.0,0.1,24.0,0.1590922474861145,0.3513740599155426,0.15810419619083405,0.4158826470375061,0.12013520300388336,0.2743472754955292,0.1730949729681015,0.5557595491409302,9,9,2,1,0.00010555486252970814,34.633836075957404
25.0,64.0,0.1,8.0,,,0.1463260054588318,0.463492214679718,0.17157447338104248,0.4204927086830139,0.13288280367851257,0.4458930194377899,50,12,22,1,9.859590428684673e-05,31.679112752067144
5.0,64.0,0.1,27.0,0.17171946167945862,0.1438680738210678,0.17917723953723907,0.12944656610488892,0.15404145419597626,0.2181083709001541,0.1775771826505661,0.18315660953521729,1,2,1,1,9.128494029378431e-05,32.54009617460976
15.0,32.0,0.1,20.0,0.1704564094543457,0.08818922936916351,0.1143893450498581,0.07344099134206772,0.23714201152324677,0.28139910101890564,0.125783309340477,0.2350260466337204,1,1,3,1,0.00010013015308119044,32.38216854352871
5.0,32.0,0.1,21.0,0.20767004787921906,0.18831831216812134,0.1841365396976471,0.1804610937833786,0.10647118091583252,0.12066394090652466,0.28958025574684143,0.305700421333313,1,1,1,1,0.00012637179636322549,26.592349306614175
15.0,32.0,0.1,30.0,2.4836156368255615,1.512877345085144,0.18671034276485443,0.1185009554028511,0.2263823300600052,0.09114345908164978,0.27615028619766235,0.1822940707206726,1,1,1,1,0.0001538100069170406,22.207923339546287
5.0,64.0,0.1,13.0,0.13769058883190155,0.18303605914115906,0.13659274578094482,0.14554360508918762,0.18652942776679993,0.3876602351665497,0.2339901328086853,0.6261359453201294,1,1,2,1,0.00016790130157974537,32.16446437008183
25.0,64.0,0.1,6.0,0.19326245784759521,0.5029726028442383,0.2144484519958496,0.543351411819458,0.17704938352108002,0.40253114700317383,0.16785664856433868,0.48565012216567993,4,30,6,1,0.00013192259151680041,28.35140000083893
5.0,32.0,0.1,29.0,0.15472641587257385,0.16243554651737213,0.11998249590396881,0.06995195150375366,0.10156123340129852,0.1635061502456665,0.17779885232448578,0.3550264835357666,1,1,1,1,0.00020354429750304992,27.345242388179216
25.0,32.0,0.1,15.0,0.1776675432920456,0.09385852515697479,0.1494443118572235,0.13329729437828064,0.14830495417118073,0.08546242117881775,0.1287306398153305,0.20048819482326508,1,2,1,1,0.00017347675386666928,23.181393612610147
5.0,64.0,0.1,29.0,0.16850799322128296,0.11123133450746536,0.2611578702926636,0.3749534487724304,0.29533928632736206,0.30045178532600403,0.22696349024772644,0.19722288846969604,1,4,1,1,0.00015473442472696552,29.74664265404569
15.0,64.0,0.1,15.0,0.18727190792560577,0.38465616106987,0.18273521959781647,0.41422730684280396,0.22919617593288422,0.4341670870780945,0.15225084125995636,0.4403742849826813,12,27,11,1,9.260697201107781e-05,31.226927299235136
5.0,64.0,0.1,3.0,0.17472070455551147,0.20703107118606567,0.1655697524547577,0.24846285581588745,0.21744617819786072,0.27992358803749084,0.23207418620586395,0.2992129325866699,1,3,1,1,0.00014528271351958721,35.551141922315495
15.0,64.0,0.1,11.0,0.2702036499977112,0.5083527565002441,0.19336152076721191,0.5315543413162231,0.303458034992218,0.4630494713783264,0.13285546004772186,0.4210438132286072,6,1,22,1,0.00010003255149673707,18.97161667165384
25.0,64.0,0.1,4.0,0.23846951127052307,0.47337332367897034,,,0.21927286684513092,0.4163750410079956,0.1985984742641449,0.43447145819664,12,50,11,1,,24.45191110410724
25.0,32.0,0.1,6.0,0.27832886576652527,0.3766111135482788,0.2825244963169098,0.38530781865119934,0.4228978157043457,0.4629887342453003,0.1830146610736847,0.31916582584381104,2,1,1,1,0.00013363714118204417,23.236933735401905
15.0,64.0,0.1,16.0,0.1865367442369461,0.5211629271507263,0.17405442893505096,0.48299673199653625,0.2482023686170578,0.5029040575027466,0.16763527691364288,0.228598952293396,3,4,2,1,0.00015731777325937724,26.900341279449243
25.0,32.0,0.1,8.0,0.16576571762561798,0.19377493858337402,0.2109696865081787,0.2973986268043518,,,0.10120020061731339,0.242275208234787,1,2,50,1,0.00010764792154571712,
15.0,64.0,0.1,4.0,0.19104242324829102,0.48443734645843506,0.1836039423942566,0.5132211446762085,0.23823869228363037,0.4636768102645874,0.1412784904241562,0.4600681662559509,7,2,4,1,0.00013998748644875048,25.330125114332354
