width,batch-time,learning-rate,replicate,beta_percent_err,beta_fit,beta_true,gamma_percent_err,gamma_fit,gamma_true,delta_percent_err,delta_fit,delta_true
15.0,32.0,0.1,12.0,8.03750910004138e-05,1.4998794373634994,1.5,0.0004563662561955321,2.9986309012314134,3.0,0.0016502106697813268,1.0016502106697813,1.0
5.0,64.0,0.1,25.0,0.001027295258053081,1.5015409428870796,1.5,0.00020234430987701538,2.999392967070369,3.0,0.0024318992683456386,1.0024318992683456,1.0
5.0,64.0,0.1,14.0,0.0014043889363281419,1.5021065834044922,1.5,0.00027280034349574933,3.0008184010304872,3.0,0.003633871375513298,1.0036338713755133,1.0
5.0,64.0,0.1,4.0,0.0006124456081432564,1.5009186684122149,1.5,0.0011106846086197386,2.996667946174141,3.0,0.000615555699488235,0.9993844443005118,1.0
25.0,32.0,0.1,12.0,0.0019353377385781616,1.4970969933921328,1.5,0.00026229498266783224,2.9992131150519965,3.0,0.0005358621888866821,1.0005358621888867,1.0
25.0,64.0,0.1,15.0,0.0003009328397536315,1.5004513992596304,1.5,0.00022933394007103777,2.999311998179787,3.0,0.0012490904346900145,0.99875090956531,1.0
15.0,64.0,0.1,21.0,2.173794530010061e-05,1.5000326069179502,1.5,0.0006462830021029357,3.001938849006309,3.0,0.00047027791601705893,0.9995297220839829,1.0
15.0,64.0,0.1,24.0,0.00034650208624113316,1.5005197531293617,1.5,0.0011827498304491553,2.9964517505086525,3.0,0.00027250168101111694,0.9997274983189889,1.0
25.0,64.0,0.1,8.0,0.0021022092477533207,1.50315331387163,1.5,0.0003135543897399747,2.99905933683078,3.0,0.0001447225694266585,1.0001447225694267,1.0
5.0,64.0,0.1,27.0,0.0009825108415110566,1.4985262337377334,1.5,0.00023353880651895884,3.000700616419557,3.0,0.001062264258317125,1.0010622642583171,1.0
15.0,32.0,0.1,20.0,0.0006871081166872628,1.501030662175031,1.5,0.0002709074324675302,3.0008127222974026,3.0,0.0008270032489487988,1.0008270032489488,1.0
5.0,32.0,0.1,21.0,0.0004854764079789871,1.5007282146119685,1.5,0.0003682466286522394,2.9988952601140433,3.0,0.0025419833521749258,0.9974580166478251,1.0
15.0,32.0,0.1,30.0,0.0009408873009896604,1.5014113309514845,1.5,0.0009354047580984274,3.0028062142742953,3.0,0.00027729077702876026,1.0002772907770288,1.0
5.0,64.0,0.1,13.0,0.0017284119929490416,1.5025926179894236,1.5,0.00020858192494695635,2.999374254225159,3.0,0.000568223744846108,0.9994317762551539,1.0
25.0,64.0,0.1,6.0,0.001829018287722602,1.502743527431584,1.5,0.00036038877993712265,2.9989188336601886,3.0,0.0024161980312332743,0.9975838019687667,1.0
5.0,32.0,0.1,29.0,0.0013596127416123,1.5020394191124185,1.5,0.0005775845075011906,2.9982672464774964,3.0,0.0018789015808748921,1.001878901580875,1.0
25.0,32.0,0.1,15.0,0.0006242410347709892,1.5009363615521565,1.5,0.00025565376484282254,3.0007669612945285,3.0,0.0009001893902396141,0.9990998106097604,1.0
5.0,64.0,0.1,29.0,0.0005460210028465085,1.4991809684957302,1.5,0.0006231173092075734,2.9981306480723773,3.0,0.0005900541397693138,0.9994099458602307,1.0
15.0,64.0,0.1,15.0,0.002292448395047053,1.4965613274074294,1.5,0.00028163638032197014,3.000844909140966,3.0,0.0020065010259289195,0.9979934989740711,1.0
5.0,64.0,0.1,3.0,0.00048707774209333365,1.50073061661314,1.5,0.0002714126777202767,3.000814238033161,3.0,0.00011208791035999255,1.00011208791036,1.0
15.0,64.0,0.1,11.0,0.0008091145401724434,1.4987863281897413,1.5,0.0005781667107047639,3.0017345001321143,3.0,9.560283122300728e-05,0.999904397168777,1.0
25.0,64.0,0.1,4.0,0.0010212108927230013,1.5015318163390845,1.5,3.9836561394945846e-05,3.000119509684185,3.0,0.0002643917751250502,1.000264391775125,1.0
25.0,32.0,0.1,6.0,4.230507619270204e-05,1.500063457614289,1.5,0.00034850432942793813,2.998954487011716,3.0,0.001468818899784008,1.001468818899784,1.0
15.0,64.0,0.1,16.0,0.0011702270949630982,1.5017553406424446,1.5,0.001440222447866309,2.995679332656401,3.0,0.0006540142964230888,0.9993459857035769,1.0
25.0,32.0,0.1,8.0,0.00022237267453547224,1.5003335590118032,1.5,0.0006483116146895895,2.9980550651559312,3.0,0.0005235467226849533,1.000523546722685,1.0
15.0,64.0,0.1,4.0,0.0006919486454917134,1.5010379229682376,1.5,0.0002847132568516801,2.999145860229445,3.0,0.0010168370603171883,0.9989831629396828,1.0
25.0,32.0,0.1,2.0,0.000694719132082818,1.5010420786981242,1.5,0.0007105881228494463,2.9978682356314517,3.0,0.00349849008056613,0.9965015099194339,1.0
5.0,64.0,0.1,26.0,0.0024105335955204588,1.4963841996067193,1.5,8.403262505529696e-05,2.999747902124834,3.0,0.0005063756692488264,0.9994936243307512,1.0
25.0,64.0,0.1,2.0,0.0007345524130738154,1.4988981713803893,1.5,0.0005710403282469892,2.998286879015259,3.0,0.0005187503519619163,1.000518750351962,1.0
15.0,32.0,0.1,13.0,0.00021784544184214974,1.4996732318372368,1.5,0.0003946784803157873,2.9988159645590526,3.0,0.0008072012013935481,1.0008072012013935,1.0
15.0,32.0,0.1,7.0,0.000949561924441363,1.501424342886662,1.5,0.00020135269709416667,2.9993959419087175,3.0,0.00208121434138564,0.9979187856586144,1.0
15.0,32.0,0.1,11.0,0.0014821965397282533,1.4977767051904076,1.5,0.0001287739926530603,3.000386321977959,3.0,0.0002989381263163171,1.0002989381263163,1.0
5.0,32.0,0.1,24.0,0.0004314271747702196,1.5006471407621553,1.5,0.0007885631463538564,2.9976343105609384,3.0,0.001822329375406384,0.9981776706245936,1.0
25.0,64.0,0.1,10.0,0.0005925286435108923,1.4991112070347337,1.5,0.000471807881139726,2.998584576356581,3.0,0.0010832134651493908,0.9989167865348506,1.0
15.0,64.0,0.1,13.0,0.00023339922170088437,1.4996499011674487,1.5,0.00033849930428919706,3.0010154979128676,3.0,0.0010109580797481588,1.0010109580797482,1.0
5.0,32.0,0.1,13.0,0.0004837879781428948,1.5007256819672143,1.5,0.0009934118328411106,2.9970197645014767,3.0,0.0004308133693515792,0.9995691866306484,1.0
5.0,64.0,0.1,19.0,0.00027624250470041173,1.4995856362429494,1.5,0.0008092701976913178,3.002427810593074,3.0,0.00208443446448614,1.0020844344644861,1.0
15.0,32.0,0.1,25.0,0.00041462424979599177,1.500621936374694,1.5,0.0002575922604462673,3.000772776781339,3.0,0.0012303251660726877,0.9987696748339273,1.0
5.0,32.0,0.1,27.0,0.0013445836857523357,1.4979831244713715,1.5,5.0720055945271035e-05,3.000152160167836,3.0,0.0006655757812963348,1.0006655757812963,1.0
5.0,32.0,0.1,8.0,0.000310702172072889,1.5004660532581093,1.5,0.0002007783986771964,3.0006023351960316,3.0,0.0018307907628754005,0.9981692092371246,1.0
25.0,64.0,0.1,29.0,2.9569644071081314e-05,1.5000443544661066,1.5,0.0013015974656253408,2.996095207603124,3.0,0.0015842062775077714,1.0015842062775078,1.0
5.0,32.0,0.1,10.0,0.00045070249555208736,1.4993239462566719,1.5,4.601129072900889e-05,3.000138033872187,3.0,0.0016539899948342374,0.9983460100051658,1.0
5.0,32.0,0.1,1.0,8.305993994491463e-05,1.5001245899099174,1.5,0.0013995684307808176,2.9958012947076575,3.0,0.0012875548266731984,0.9987124451733268,1.0
5.0,32.0,0.1,14.0,0.0012133923744295967,1.4981799114383556,1.5,0.00090214112876937,2.997293576613692,3.0,0.001156445552088381,0.9988435544479116,1.0
25.0,64.0,0.1,12.0,0.002289539563156584,1.5034343093447349,1.5,2.3351051683384583e-05,2.99992994684495,3.0,0.000778632006223523,1.0007786320062235,1.0
15.0,32.0,0.1,16.0,0.0006498195001366133,1.500974729250205,1.5,0.00010813480659906578,3.000324404419797,3.0,0.000813891662573174,0.9991861083374268,1.0
15.0,64.0,0.1,22.0,0.002631201454390849,1.5039468021815863,1.5,0.0003142335570549548,3.000942700671165,3.0,0.002284807698363922,0.9977151923016361,1.0
15.0,32.0,0.1,24.0,0.0013665218826638774,1.5020497828239958,1.5,0.0013708673272276133,2.995887398018317,3.0,0.0006185825552087465,0.9993814174447913,1.0
5.0,32.0,0.1,2.0,0.0015984149746556635,1.5023976224619835,1.5,0.00012076391728221836,3.0003622917518467,3.0,0.0020008783533322916,1.0020008783533323,1.0
25.0,64.0,0.1,14.0,0.0005147525961478235,1.5007721288942217,1.5,0.00014645421074647538,2.9995606373677606,3.0,0.0016392312517898855,0.9983607687482101,1.0
15.0,64.0,0.1,19.0,0.0007325107031349217,1.4989012339452976,1.5,0.0009926419871257863,3.0029779259613774,3.0,0.00014366137442001214,0.99985633862558,1.0
15.0,64.0,0.1,18.0,0.0011272575169021988,1.4983091137246467,1.5,0.0007599490979917078,3.002279847293975,3.0,0.0021107986292161485,1.0021107986292161,1.0
25.0,32.0,0.1,5.0,0.00038233539119802984,1.500573503086797,1.5,4.366457045475632e-05,3.0001309937113643,3.0,0.0008871549040474491,1.0008871549040474,1.0
5.0,32.0,0.1,4.0,0.002615147534394069,1.503922721301591,1.5,0.0005374006679876864,3.001612202003963,3.0,0.0009266786922843551,1.0009266786922844,1.0
15.0,64.0,0.1,3.0,0.0002337225609842323,1.4996494161585237,1.5,0.0010716762780872042,3.0032150288342616,3.0,0.0021530885117284626,1.0021530885117285,1.0
25.0,32.0,0.1,27.0,0.00048072069847589677,1.5007210810477138,1.5,0.00018303361760718673,2.9994508991471784,3.0,0.0005853654979173228,1.0005853654979173,1.0
5.0,32.0,0.1,26.0,0.0002271975298538583,1.4996592037052192,1.5,0.0006748828601885748,2.9979753514194343,3.0,0.002004014880036209,0.9979959851199638,1.0
15.0,32.0,0.1,1.0,0.00019171101087496942,1.4997124334836875,1.5,8.412053546121474e-05,3.0002523616063836,3.0,0.0005558558156304461,1.0005558558156304,1.0
