width,batch-time,learning-rate,replicate,beta_percent_err,beta_fit,beta_true,gamma_percent_err,gamma_fit,gamma_true,delta_percent_err,delta_fit,delta_true
15.0,32.0,0.1,12.0,11.154988437064842,18.232482655597263,1.5,0.047629579661316424,2.8571112610160507,3.0,0.07564616916676381,1.0756461691667638,1.0
5.0,64.0,0.1,25.0,0.1170529240065008,1.3244206139902488,1.5,0.04673343748015831,3.140200312440475,3.0,0.21105868974807906,1.211058689748079,1.0
5.0,64.0,0.1,14.0,0.7751867973572045,0.3372198039641932,1.5,0.35601450547277663,1.93195648358167,3.0,0.005956365721827228,0.9940436342781728,1.0
5.0,64.0,0.1,4.0,0.29848182775040916,1.9477227416256138,1.5,0.06500365701908499,2.804989028942745,3.0,0.032458604321706774,1.0324586043217068,1.0
25.0,32.0,0.1,12.0,11.243660038660979,18.36549005799147,1.5,0.02536281694498695,2.923911549165039,3.0,0.06773714339624393,1.067737143396244,1.0
25.0,64.0,0.1,15.0,0.3819561431663287,0.927065785250507,1.5,0.2074141975336897,2.377757407398931,3.0,0.040282870381263214,1.0402828703812632,1.0
15.0,64.0,0.1,21.0,0.31690880876211436,1.0246367868568285,1.5,0.01076142552416437,2.967715723427507,3.0,0.2175190126800033,1.2175190126800033,1.0
15.0,64.0,0.1,24.0,0.5105369250254352,0.7341946124618471,1.5,0.10292580278543657,2.6912225916436903,3.0,0.19069378227194766,1.1906937822719477,1.0
25.0,64.0,0.1,8.0,0.6907190925152443,0.4639213612271335,1.5,0.3025108276233756,2.0924675171298732,3.0,0.08399354658287339,1.0839935465828734,1.0
5.0,64.0,0.1,27.0,0.1672857586694486,1.2490713619958271,1.5,0.06918277878016192,2.7924516636595142,3.0,0.14361161746719198,1.143611617467192,1.0
15.0,32.0,0.1,20.0,7.862704278747146,13.29405641812072,1.5,0.06465986346010293,2.8060204096196912,3.0,0.08465067784927705,1.084650677849277,1.0
5.0,32.0,0.1,21.0,11.308494399030801,18.462741598546202,1.5,0.055946994666063045,2.832159016001811,3.0,0.06433254884139061,1.0643325488413906,1.0
15.0,32.0,0.1,30.0,11.14623442896234,18.21935164344351,1.5,0.040823851296672764,2.8775284461099817,3.0,0.06775646752693598,1.067756467526936,1.0
5.0,64.0,0.1,13.0,0.5965258209421697,0.6052112685867456,1.5,0.27072802700379545,2.1878159189886137,3.0,0.10242460735006165,1.1024246073500616,1.0
25.0,64.0,0.1,6.0,0.7025160044242348,0.4462259933636478,1.5,0.24379775856543606,2.268606724303692,3.0,0.1218537554143595,1.1218537554143595,1.0
5.0,32.0,0.1,29.0,12.013014742292269,19.519522113438402,1.5,0.04438695645301349,2.8668391306409595,3.0,0.06983604245120678,1.0698360424512068,1.0
25.0,32.0,0.1,15.0,11.997688215253222,19.496532322879833,1.5,0.023186535388988478,2.9304403938330346,3.0,0.08433242732675916,1.0843324273267592,1.0
5.0,64.0,0.1,29.0,0.5620403833540164,0.6569394249689754,1.5,0.10268070789406487,2.6919578763178054,3.0,0.22599467069272094,1.225994670692721,1.0
15.0,64.0,0.1,15.0,0.7813428990193844,0.32798565147092335,1.5,0.2781607398517383,2.165517780444785,3.0,0.09030707598245136,1.0903070759824514,1.0
5.0,64.0,0.1,3.0,0.333139979478738,1.000290030781893,1.5,0.048455957201534616,2.854632128395396,3.0,0.19519435929344953,1.1951943592934495,1.0
