Replicate,SSE,RMSE,TimeTaken,NumParams,Mechanistic Error,Hidden Layers,Layer Dimensions,niters,data size,batch time,batch size
0,345.2273254394531,1.5070608854293823,46.00181531906128,14,4.606070116884075,1,(2),5000,50,16,256
1,506.50946044921875,1.8254585266113281,56.90130972862244,14,5.592464492558502,1,(2),5000,50,16,256
2,242.89022827148438,1.264105200767517,57.93527603149414,14,4.369802868730185,1,(2),5000,50,16,256
3,444.9923095703125,1.7110176086425781,57.158066749572754,14,4.411382028509397,1,(2),5000,50,16,256
4,323.9952087402344,1.4599820375442505,57.67071008682251,14,4.641921440114384,1,(2),5000,50,16,256
5,474.1385192871094,1.7661631107330322,59.33605217933655,14,4.096447166418657,1,(2),5000,50,16,256
6,362.8219909667969,1.5449875593185425,59.756962299346924,14,4.321842210763134,1,(2),5000,50,16,256
7,261.1058044433594,1.3106491565704346,59.355711936950684,14,4.392626170921139,1,(2),5000,50,16,256
0,156.22413635253906,1.013800024986267,60.11071157455444,24,4.43304056611465,1,(4),5000,50,16,256
1,74.62586975097656,0.7006851434707642,60.512741565704346,24,5.158259670388361,1,(4),5000,50,16,256
2,92.68470001220703,0.7808762788772583,59.86576557159424,24,5.144007151201013,1,(4),5000,50,16,256
3,48.29195022583008,0.5636578798294067,60.73374032974243,24,5.668166006229148,1,(4),5000,50,16,256
4,50.52668380737305,0.576552152633667,60.802979946136475,24,5.226094936455338,1,(4),5000,50,16,256
5,163.126220703125,1.0359530448913574,60.37716460227966,24,4.5336227442754895,1,(4),5000,50,16,256
6,429.349609375,1.6806750297546387,61.365628719329834,24,4.20245504085673,1,(4),5000,50,16,256
7,83.25436401367188,0.7400851845741272,60.864288091659546,24,4.544226211933419,1,(4),5000,50,16,256
0,71.9568862915039,0.688041090965271,61.65476083755493,34,4.673825467855204,1,(6),5000,50,16,256
1,42.5750732421875,0.5292439460754395,61.519593954086304,34,4.312778143985197,1,(6),5000,50,16,256
2,51.86262893676758,0.5841245651245117,61.30378770828247,34,4.9542902405697165,1,(6),5000,50,16,256
3,37.65191650390625,0.49770471453666687,62.362144231796265,34,4.993670530607924,1,(6),5000,50,16,256
4,46.759544372558594,0.5546427369117737,61.60569787025452,34,4.5747702799120455,1,(6),5000,50,16,256
5,43.944862365722656,0.5376903414726257,61.59091067314148,34,5.334642689272114,1,(6),5000,50,16,256
6,54.482418060302734,0.5986960530281067,61.36987257003784,34,5.076837005685374,1,(6),5000,50,16,256
7,64.89726257324219,0.6534184217453003,61.86771297454834,34,4.597299961343524,1,(6),5000,50,16,256
