Replicate,SSE,RMSE,TimeTaken,NumParams,Hidden Layers,Layer Dimensions,niters,data size,batch time,batch size
0,209.3775634765625,1.1736626625061035,401.1046738624573,14,1,(2),10000,50,16,256
0,37.61947250366211,0.4974902272224426,409.4130117893219,24,1,(4),10000,50,16,256
0,55.745635986328125,0.6055968999862671,415.3930540084839,34,1,(6),10000,50,16,256
0,37.10464096069336,0.49407437443733215,421.2480664253235,44,1,(8),10000,50,16,256
0,25.221445083618164,0.4073457419872284,428.39679479599,54,1,(10),10000,50,16,256
0,19.099523544311523,0.3544781506061554,431.6678657531738,64,1,(12),10000,50,16,256
0,11.825946807861328,0.2789306044578552,436.1768310070038,74,1,(14),10000,50,16,256
0,23.983205795288086,0.3972206711769104,434.9067521095276,84,1,(16),10000,50,16,256
0,10.028562545776367,0.2568606436252594,441.5278351306915,94,1,(18),10000,50,16,256
0,10.383247375488281,0.2613634169101715,423.95653462409973,104,1,(20),10000,50,16,256
0,12.402087211608887,0.2856443226337433,426.301349401474,114,1,(22),10000,50,16,256
0,13.348102569580078,0.29633843898773193,423.6134479045868,124,1,(24),10000,50,16,256
0,11.124063491821289,0.27052658796310425,432.4666669368744,134,1,(26),10000,50,16,256
0,10.870574951171875,0.2674265205860138,428.6290123462677,144,1,(28),10000,50,16,256
0,14.938857078552246,0.3134995400905609,2043.172841310501,154,1,(30),10000,50,16,256
