Replicate,SSE,RMSE,TimeTaken,NumParams,Hidden Layers,Layer Dimensions,niters,data size,batch time,batch size
0,901.7449340820312,2.4356789588928223,2.1237101554870605,12,1,(2),100,50,16,256
0,623.8577880859375,2.025913953781128,2.098069429397583,22,1,(4),100,50,16,256
0,618.2059326171875,2.016716241836548,2.1177682876586914,32,1,(6),100,50,16,256
0,612.0579833984375,2.0066630840301514,2.1387250423431396,42,1,(8),100,50,16,256
0,643.155517578125,2.057009220123291,2.243065595626831,52,1,(10),100,50,16,256
0,768.9219970703125,2.249154806137085,2.169916868209839,62,1,(12),100,50,16,256
0,581.80517578125,1.95644211769104,2.1466801166534424,72,1,(14),100,50,16,256
0,129.0092315673828,0.9212735295295715,2.2418079376220703,82,1,(16),100,50,16,256
0,682.1401977539062,2.118434429168701,2.1933834552764893,92,1,(18),100,50,16,256
0,711.2473754882812,2.1631593704223633,2.3270010948181152,102,1,(20),100,50,16,256
0,538.6961669921875,1.8825657367706299,2.3452694416046143,112,1,(22),100,50,16,256
0,473.2069396972656,1.7644273042678833,2.4468655586242676,122,1,(24),100,50,16,256
0,193.79530334472656,1.1291452646255493,2.3550045490264893,132,1,(26),100,50,16,256
0,428.2535400390625,1.6785283088684082,2.3736681938171387,142,1,(28),100,50,16,256
0,243.07992553710938,1.2645987272262573,2.386887550354004,152,1,(30),100,50,16,256
