Replicate,SSE,RMSE,TimeTaken,NumParams,Hidden Layers,Layer Dimensions,niters,data size,batch time,batch size
0,429.846923828125,1.6816480159759521,399.3006663322449,14,1,(2),10000,50,16,256
0,46.40791702270508,0.5525534152984619,407.43165922164917,24,1,(4),10000,50,16,256
0,36.67200469970703,0.4911854863166809,413.40960478782654,34,1,(6),10000,50,16,256
0,25.854982376098633,0.412430077791214,419.1629378795624,44,1,(8),10000,50,16,256
0,29.8134708404541,0.4428783655166626,384.39676666259766,54,1,(10),10000,50,16,256
0,20.6563777923584,0.3686423897743225,361.7076053619385,64,1,(12),10000,50,16,256
0,7.7401885986328125,0.22565968334674835,359.7255389690399,74,1,(14),10000,50,16,256
0,12.368785858154297,0.2852605879306793,343.1323173046112,84,1,(16),10000,50,16,256
0,14.104863166809082,0.30462297797203064,348.6905891895294,94,1,(18),10000,50,16,256
0,9.076208114624023,0.24436017870903015,358.7709307670593,104,1,(20),10000,50,16,256
0,7.008960723876953,0.21473607420921326,401.74773144721985,114,1,(22),10000,50,16,256
0,11.871993064880371,0.27947309613227844,460.168673992157,124,1,(24),10000,50,16,256
0,9.514420509338379,0.2501896619796753,466.24499249458313,134,1,(26),10000,50,16,256
0,10.966456413269043,0.2686033248901367,466.825519323349,144,1,(28),10000,50,16,256
0,9.550824165344238,0.25066784024238586,471.93821716308594,154,1,(30),10000,50,16,256
