Replicate,SSE,RMSE,TimeTaken,NumParams,Hidden Layers,Layer Dimensions,niters,data size,batch time,batch size
0,1051.95654296875,2.293421745300293,12.677845239639282,522,2,(20 20),750,100,16,256
1,1255.8577880859375,2.5058507919311523,12.633285999298096,522,2,(20 20),750,100,16,256
2,1209.6015625,2.4592697620391846,12.576911449432373,522,2,(20 20),750,100,16,256
3,1123.994140625,2.370647668838501,12.630427837371826,522,2,(20 20),750,100,16,256
4,1263.7342529296875,2.5136966705322266,12.65964651107788,522,2,(20 20),750,100,16,256
0,1106.434814453125,2.352057456970215,16.717673778533936,522,2,(20 20),1000,100,16,256
1,1216.3480224609375,2.466118335723877,16.607702255249023,522,2,(20 20),1000,100,16,256
2,1335.9302978515625,2.5845022201538086,16.68146800994873,522,2,(20 20),1000,100,16,256
3,1157.0491943359375,2.4052538871765137,16.64263343811035,522,2,(20 20),1000,100,16,256
4,1319.057373046875,2.568129062652588,16.674057722091675,522,2,(20 20),1000,100,16,256
0,1381.6597900390625,2.628364324569702,20.9056978225708,522,2,(20 20),1250,100,16,256
1,1450.379638671875,2.692934989929199,20.97138524055481,522,2,(20 20),1250,100,16,256
2,1339.15087890625,2.587615489959717,20.88510489463806,522,2,(20 20),1250,100,16,256
3,1272.4508056640625,2.522351026535034,21.071832180023193,522,2,(20 20),1250,100,16,256
4,1260.418701171875,2.51039719581604,20.915716886520386,522,2,(20 20),1250,100,16,256
0,3923.369140625,1.8885706663131714,12.536767482757568,522,2,(20 20),750,550,16,256
1,3895.339111328125,1.8818122148513794,12.567298412322998,522,2,(20 20),750,550,16,256
2,3792.601806640625,1.8568305969238281,12.517346620559692,522,2,(20 20),750,550,16,256
3,3941.0673828125,1.8928254842758179,12.769864082336426,522,2,(20 20),750,550,16,256
4,3867.068603515625,1.8749711513519287,12.826036930084229,522,2,(20 20),750,550,16,256
0,3886.71728515625,1.8797285556793213,16.70855474472046,522,2,(20 20),1000,550,16,256
1,3990.39306640625,1.90463387966156,16.754161834716797,522,2,(20 20),1000,550,16,256
2,3845.137451171875,1.8696469068527222,16.8028621673584,522,2,(20 20),1000,550,16,256
3,3927.373291015625,1.8895342350006104,16.688737392425537,522,2,(20 20),1000,550,16,256
4,3866.921875,1.8749356269836426,16.659181356430054,522,2,(20 20),1000,550,16,256
0,3895.50537109375,1.881852388381958,20.884398221969604,522,2,(20 20),1250,550,16,256
1,3970.35791015625,1.8998463153839111,20.989547967910767,522,2,(20 20),1250,550,16,256
2,3780.814697265625,1.85394287109375,20.90472650527954,522,2,(20 20),1250,550,16,256
3,3939.94287109375,1.8925554752349854,20.72913670539856,522,2,(20 20),1250,550,16,256
4,3961.2255859375,1.897660255432129,20.845678329467773,522,2,(20 20),1250,550,16,256
0,298.3315124511719,0.3862198293209076,12.52816128730774,522,2,(20 20),750,1000,16,256
1,79.52409362792969,0.19940422475337982,12.516074419021606,522,2,(20 20),750,1000,16,256
2,7109.24755859375,1.8853709697723389,12.542291641235352,522,2,(20 20),750,1000,16,256
3,141.56063842773438,0.2660457193851471,12.545306921005249,522,2,(20 20),750,1000,16,256
4,113.75143432617188,0.23848630487918854,12.542913675308228,522,2,(20 20),750,1000,16,256
0,102.5155029296875,0.22640174627304077,16.725521564483643,522,2,(20 20),1000,1000,16,256
1,2331.1455078125,1.079616904258728,16.736804962158203,522,2,(20 20),1000,1000,16,256
2,2740.6884765625,1.1706171035766602,16.651166200637817,522,2,(20 20),1000,1000,16,256
3,718.913330078125,0.5995470285415649,16.698264837265015,522,2,(20 20),1000,1000,16,256
4,64.74797821044922,0.1799277365207672,16.764498233795166,522,2,(20 20),1000,1000,16,256
0,6506.29736328125,1.8036487102508545,20.866631746292114,522,2,(20 20),1250,1000,16,256
1,54.50560760498047,0.16508422791957855,20.87565279006958,522,2,(20 20),1250,1000,16,256
2,7304.78369140625,1.9111231565475464,20.833701610565186,522,2,(20 20),1250,1000,16,256
3,51.90624237060547,0.16109973192214966,20.88943862915039,522,2,(20 20),1250,1000,16,256
4,75.82451629638672,0.19471070170402527,20.87497591972351,522,2,(20 20),1250,1000,16,256
0,1340.4627685546875,2.5888826847076416,16.44208288192749,867,2,(20 35),750,100,16,256
1,1454.8485107421875,2.697080373764038,16.702072381973267,867,2,(20 35),750,100,16,256
2,1265.2747802734375,2.515228509902954,16.660053253173828,867,2,(20 35),750,100,16,256
3,1316.2020263671875,2.565347909927368,16.58158540725708,867,2,(20 35),750,100,16,256
4,1340.178466796875,2.5886082649230957,16.58016610145569,867,2,(20 35),750,100,16,256
0,1510.619873046875,2.7482903003692627,22.310356616973877,867,2,(20 35),1000,100,16,256
1,1354.07421875,2.6019935607910156,22.41219735145569,867,2,(20 35),1000,100,16,256
