Replicate,SSE,RMSE,TimeTaken,NumParams,Hidden Layers,Layer Dimensions,niters,data size,batch time,batch size
0,141.5315704345703,1.189670443534851,9.618093967437744,14,2,(2),1000,50,16,256
1,205.16970825195312,1.4323745965957642,9.70882773399353,14,2,(2),1000,50,16,256
2,203.47381591796875,1.4264425039291382,9.717146158218384,14,2,(2),1000,50,16,256
3,180.86636352539062,1.3448656797409058,9.767438411712646,14,2,(2),1000,50,16,256
4,179.55776977539062,1.3399916887283325,9.821623802185059,14,2,(2),1000,50,16,256
5,197.6306610107422,1.4058116674423218,9.809114694595337,14,2,(2),1000,50,16,256
6,180.33114624023438,1.34287428855896,9.825324773788452,14,2,(2),1000,50,16,256
7,139.34243774414062,1.180433988571167,9.816193342208862,14,2,(2),1000,50,16,256
8,161.4580841064453,1.2706615924835205,9.813219785690308,14,2,(2),1000,50,16,256
9,211.4321746826172,1.4540706872940063,9.809231519699097,14,2,(2),1000,50,16,256
0,420.63092041015625,2.050928831100464,10.06650972366333,34,2,(6),1000,50,16,256
1,409.24700927734375,2.0229854583740234,10.106817483901978,34,2,(6),1000,50,16,256
2,384.5383605957031,1.9609650373458862,10.106907367706299,34,2,(6),1000,50,16,256
3,429.046142578125,2.071342945098877,10.125629425048828,34,2,(6),1000,50,16,256
4,326.59716796875,1.8071999549865723,10.096814155578613,34,2,(6),1000,50,16,256
5,253.90003967285156,1.5934242010116577,10.133697271347046,34,2,(6),1000,50,16,256
6,364.814697265625,1.9100122451782227,10.11116886138916,34,2,(6),1000,50,16,256
7,178.8245391845703,1.3372529745101929,10.086429357528687,34,2,(6),1000,50,16,256
8,257.83355712890625,1.6057196855545044,10.115418672561646,34,2,(6),1000,50,16,256
9,228.3693084716797,1.511189341545105,10.181373596191406,34,2,(6),1000,50,16,256
0,149.57168579101562,1.2229950428009033,13.709070205688477,54,2,(10),1000,50,16,256
1,84.54232025146484,0.9194689989089966,13.770332098007202,54,2,(10),1000,50,16,256
2,57.76628875732422,0.760041356086731,13.905399084091187,54,2,(10),1000,50,16,256
3,33.74197006225586,0.5808783769607544,13.842612028121948,54,2,(10),1000,50,16,256
4,84.88882446289062,0.9213513135910034,13.82166600227356,54,2,(10),1000,50,16,256
5,59.08681869506836,0.7686794996261597,13.788430452346802,54,2,(10),1000,50,16,256
6,76.81415557861328,0.8764368295669556,13.650644540786743,54,2,(10),1000,50,16,256
7,207.70567321777344,1.441199779510498,13.728088617324829,54,2,(10),1000,50,16,256
8,95.08554077148438,0.9751181602478027,13.692705869674683,54,2,(10),1000,50,16,256
9,109.64318084716797,1.047106385231018,13.71916913986206,54,2,(10),1000,50,16,256
0,78.92601013183594,0.8884031176567078,13.95372748374939,74,2,(14),1000,50,16,256
1,29.84510612487793,0.5463067293167114,13.859044551849365,74,2,(14),1000,50,16,256
2,29.562908172607422,0.5437178611755371,14.142752170562744,74,2,(14),1000,50,16,256
3,176.33224487304688,1.3279014825820923,13.869029760360718,74,2,(14),1000,50,16,256
4,52.6887092590332,0.72586989402771,13.846570491790771,74,2,(14),1000,50,16,256
5,16.659908294677734,0.40816551446914673,13.878870964050293,74,2,(14),1000,50,16,256
6,34.19629669189453,0.584775984287262,13.834174871444702,74,2,(14),1000,50,16,256
7,23.558652877807617,0.4853725731372833,13.894325494766235,74,2,(14),1000,50,16,256
8,51.84954833984375,0.7200663089752197,13.789711475372314,74,2,(14),1000,50,16,256
9,57.3934440612793,0.7575846314430237,13.809985876083374,74,2,(14),1000,50,16,256
0,48.25075149536133,0.6946276426315308,13.951175689697266,94,2,(18),1000,50,16,256
1,11.676154136657715,0.3417038917541504,13.895622253417969,94,2,(18),1000,50,16,256
2,48.72723388671875,0.6980489492416382,13.803541660308838,94,2,(18),1000,50,16,256
3,25.08386993408203,0.5008379817008972,14.446132183074951,94,2,(18),1000,50,16,256
4,38.1030387878418,0.6172766089439392,13.871570825576782,94,2,(18),1000,50,16,256
5,22.5412654876709,0.47477641701698303,13.915358304977417,94,2,(18),1000,50,16,256
6,22.542133331298828,0.47478556632995605,13.969067096710205,94,2,(18),1000,50,16,256
7,38.69911193847656,0.6220861077308655,13.91000771522522,94,2,(18),1000,50,16,256
8,21.26294708251953,0.46111762523651123,14.008155584335327,94,2,(18),1000,50,16,256
9,30.21085548400879,0.5496440529823303,13.959246635437012,94,2,(18),1000,50,16,256
0,29.908117294311523,0.5468831658363342,14.135969877243042,114,2,(22),1000,50,16,256
1,19.92870330810547,0.4464157521724701,14.20688772201538,114,2,(22),1000,50,16,256
2,26.791566848754883,0.517605721950531,14.002561807632446,114,2,(22),1000,50,16,256
3,19.39098358154297,0.4403519630432129,14.015849828720093,114,2,(22),1000,50,16,256
4,23.256732940673828,0.4822523593902588,14.177565574645996,114,2,(22),1000,50,16,256
5,23.25977897644043,0.48228392004966736,14.066905498504639,114,2,(22),1000,50,16,256
6,25.526811599731445,0.5052406787872314,14.088151931762695,114,2,(22),1000,50,16,256
7,24.824899673461914,0.4982459247112274,14.064809322357178,114,2,(22),1000,50,16,256
8,25.614837646484375,0.5061110258102417,14.072627305984497,114,2,(22),1000,50,16,256
9,49.30216598510742,0.7021549940109253,14.12293004989624,114,2,(22),1000,50,16,256
0,32.537776947021484,0.5704189538955688,14.552521705627441,134,2,(26),1000,50,16,256
1,19.815717697143555,0.4451484978199005,13.95837950706482,134,2,(26),1000,50,16,256
2,41.04237365722656,0.6406432390213013,14.20309042930603,134,2,(26),1000,50,16,256
3,54.89982986450195,0.7409442067146301,14.166149854660034,134,2,(26),1000,50,16,256
4,28.159683227539062,0.5306569933891296,14.063470125198364,134,2,(26),1000,50,16,256
5,22.040000915527344,0.46946778893470764,14.168219089508057,134,2,(26),1000,50,16,256
6,20.0244140625,0.4474864602088928,14.014702320098877,134,2,(26),1000,50,16,256
7,13.798983573913574,0.3714698255062103,14.17966103553772,134,2,(26),1000,50,16,256
8,28.126083374023438,0.530340313911438,14.111601114273071,134,2,(26),1000,50,16,256
9,20.52908706665039,0.4530903398990631,14.138030767440796,134,2,(26),1000,50,16,256
0,20.917972564697266,0.45736169815063477,14.434742212295532,154,2,(30),1000,50,16,256
1,21.749814987182617,0.4663669764995575,14.436165571212769,154,2,(30),1000,50,16,256
2,14.980158805847168,0.3870421051979065,14.384207248687744,154,2,(30),1000,50,16,256
3,25.747337341308594,0.5074183344841003,14.398557901382446,154,2,(30),1000,50,16,256
4,19.595077514648438,0.4426632821559906,14.34269666671753,154,2,(30),1000,50,16,256
5,19.033838272094727,0.4362778663635254,14.20309567451477,154,2,(30),1000,50,16,256
6,25.15967559814453,0.5015941858291626,14.343153476715088,154,2,(30),1000,50,16,256
7,22.30776596069336,0.47231096029281616,14.331454515457153,154,2,(30),1000,50,16,256
8,19.890506744384766,0.445987731218338,14.475235223770142,154,2,(30),1000,50,16,256
9,22.528730392456055,0.47464439272880554,14.440925359725952,154,2,(30),1000,50,16,256
