Replicate,SSE,RMSE,TimeTaken,NumParams,Hidden Layers,Layer Dimensions,niters,data size,batch time,batch size
0,289.2803955078125,1.700824499130249,5.943576812744141,12,2,(2),1000,50,16,256
1,303.07666015625,1.7409096956253052,5.959957838058472,12,2,(2),1000,50,16,256
2,298.0040588378906,1.726279377937317,5.983820199966431,12,2,(2),1000,50,16,256
3,309.04229736328125,1.7579598426818848,6.00644063949585,12,2,(2),1000,50,16,256
4,311.29925537109375,1.7643674612045288,5.990330934524536,12,2,(2),1000,50,16,256
5,306.62109375,1.7510600090026855,6.011151552200317,12,2,(2),1000,50,16,256
6,286.5127868652344,1.6926687955856323,5.996606111526489,12,2,(2),1000,50,16,256
7,358.67559814453125,1.8938733339309692,6.001956939697266,12,2,(2),1000,50,16,256
8,2193.209716796875,4.68317174911499,5.995979070663452,12,2,(2),1000,50,16,256
9,331.34564208984375,1.820290207862854,6.000624418258667,12,2,(2),1000,50,16,256
0,13.95671558380127,0.37358686327934265,6.18977165222168,32,2,(6),1000,50,16,256
1,21.190542221069336,0.46033185720443726,6.202937602996826,32,2,(6),1000,50,16,256
2,17.027477264404297,0.4126436412334442,6.194607734680176,32,2,(6),1000,50,16,256
3,20.17214012145996,0.44913405179977417,6.188571929931641,32,2,(6),1000,50,16,256
4,41.64873123168945,0.6453582644462585,6.177401542663574,32,2,(6),1000,50,16,256
5,12.651544570922852,0.3556900918483734,6.19335150718689,32,2,(6),1000,50,16,256
6,13.750330924987793,0.37081438302993774,6.189275026321411,32,2,(6),1000,50,16,256
7,14.299294471740723,0.3781440854072571,6.178866863250732,32,2,(6),1000,50,16,256
8,18.16248321533203,0.4261746406555176,6.458581447601318,32,2,(6),1000,50,16,256
9,12.712423324584961,0.3565448522567749,6.1945226192474365,32,2,(6),1000,50,16,256
0,11.782782554626465,0.34326058626174927,8.764503479003906,52,2,(10),1000,50,16,256
1,20.832698822021484,0.45642852783203125,8.859431743621826,52,2,(10),1000,50,16,256
2,9.43598461151123,0.3071804642677307,8.815433979034424,52,2,(10),1000,50,16,256
3,18.770769119262695,0.4332524538040161,8.777215719223022,52,2,(10),1000,50,16,256
4,12.666254043579102,0.35589680075645447,8.813125848770142,52,2,(10),1000,50,16,256
5,13.72372055053711,0.37045541405677795,8.829397201538086,52,2,(10),1000,50,16,256
6,9.314811706542969,0.30520176887512207,8.689121723175049,52,2,(10),1000,50,16,256
7,10.711925506591797,0.32729077339172363,8.767574787139893,52,2,(10),1000,50,16,256
8,17.589847564697266,0.41940250992774963,8.715444803237915,52,2,(10),1000,50,16,256
9,14.576873779296875,0.3817967176437378,8.831862449645996,52,2,(10),1000,50,16,256
0,8.64113712310791,0.2939580976963043,8.925782918930054,72,2,(14),1000,50,16,256
1,17.45843505859375,0.4178329110145569,8.892464399337769,72,2,(14),1000,50,16,256
2,9.962913513183594,0.3156408369541168,9.239930391311646,72,2,(14),1000,50,16,256
3,15.949928283691406,0.3993736207485199,8.76025652885437,72,2,(14),1000,50,16,256
4,15.389089584350586,0.39228931069374084,8.86863660812378,72,2,(14),1000,50,16,256
5,14.598011016845703,0.38207343220710754,8.861713886260986,72,2,(14),1000,50,16,256
6,10.385515213012695,0.3222656548023224,8.894672632217407,72,2,(14),1000,50,16,256
7,4.58561897277832,0.21414057910442352,8.885408401489258,72,2,(14),1000,50,16,256
8,13.218021392822266,0.36356598138809204,8.881307363510132,72,2,(14),1000,50,16,256
9,12.337308883666992,0.35124504566192627,8.901453256607056,72,2,(14),1000,50,16,256
0,8.998798370361328,0.2999799847602844,8.724781036376953,92,2,(18),1000,50,16,256
1,15.32663345336914,0.39149245619773865,8.945250272750854,92,2,(18),1000,50,16,256
2,13.532230377197266,0.367861807346344,8.823961734771729,92,2,(18),1000,50,16,256
3,14.093042373657227,0.37540701031684875,8.867586612701416,92,2,(18),1000,50,16,256
4,14.356220245361328,0.378896027803421,8.87623119354248,92,2,(18),1000,50,16,256
5,12.399893760681152,0.3521348237991333,8.936484575271606,92,2,(18),1000,50,16,256
6,14.658203125,0.38286033272743225,8.972482442855835,92,2,(18),1000,50,16,256
7,11.534612655639648,0.3396264612674713,8.904443264007568,92,2,(18),1000,50,16,256
8,11.912757873535156,0.34514862298965454,9.008903741836548,92,2,(18),1000,50,16,256
9,11.324444770812988,0.3365181088447571,8.850707769393921,92,2,(18),1000,50,16,256
0,13.24183464050293,0.3638933300971985,9.116576910018921,112,2,(22),1000,50,16,256
1,13.36083984375,0.3655248284339905,9.092556953430176,112,2,(22),1000,50,16,256
2,12.77835750579834,0.35746830701828003,9.123971700668335,112,2,(22),1000,50,16,256
3,9.5869140625,0.3096274137496948,9.002908945083618,112,2,(22),1000,50,16,256
4,12.603975296020508,0.35502079129219055,9.029668807983398,112,2,(22),1000,50,16,256
5,9.94848918914795,0.3154122531414032,9.166200876235962,112,2,(22),1000,50,16,256
6,13.007612228393555,0.3606606721878052,9.071369409561157,112,2,(22),1000,50,16,256
7,10.032548904418945,0.3167420029640198,9.066665649414062,112,2,(22),1000,50,16,256
8,16.965511322021484,0.4118921160697937,9.126883506774902,112,2,(22),1000,50,16,256
9,7.160208225250244,0.2675856649875641,9.062301397323608,112,2,(22),1000,50,16,256
0,10.25374984741211,0.32021477818489075,9.458495616912842,132,2,(26),1000,50,16,256
1,10.1864013671875,0.31916141510009766,9.27032208442688,132,2,(26),1000,50,16,256
2,9.278304100036621,0.30460309982299805,9.054779529571533,132,2,(26),1000,50,16,256
3,11.397881507873535,0.3376075029373169,9.149440288543701,132,2,(26),1000,50,16,256
4,17.48399543762207,0.41813868284225464,9.189290046691895,132,2,(26),1000,50,16,256
5,12.026385307312012,0.34679079055786133,9.02616000175476,132,2,(26),1000,50,16,256
6,12.789047241210938,0.3576177656650543,9.193807125091553,132,2,(26),1000,50,16,256
7,10.940099716186523,0.3307582139968872,9.140493869781494,132,2,(26),1000,50,16,256
8,11.02557373046875,0.33204779028892517,9.10202670097351,132,2,(26),1000,50,16,256
9,11.311050415039062,0.33631905913352966,9.180551290512085,132,2,(26),1000,50,16,256
0,15.553877830505371,0.3943840563297272,9.319912195205688,152,2,(30),1000,50,16,256
1,12.378829956054688,0.35183560848236084,9.247769832611084,152,2,(30),1000,50,16,256
2,7.6675567626953125,0.27690353989601135,9.241075992584229,152,2,(30),1000,50,16,256
3,8.271143913269043,0.2875959575176239,9.349563121795654,152,2,(30),1000,50,16,256
4,14.890986442565918,0.38588839769363403,9.357433080673218,152,2,(30),1000,50,16,256
5,8.218244552612305,0.2866747975349426,9.299088716506958,152,2,(30),1000,50,16,256
6,8.9625825881958,0.2993757426738739,9.26910138130188,152,2,(30),1000,50,16,256
7,8.230440139770508,0.28688743710517883,9.2543363571167,152,2,(30),1000,50,16,256
8,12.283597946166992,0.3504796326160431,9.265464305877686,152,2,(30),1000,50,16,256
9,18.21372413635254,0.42677539587020874,9.278087139129639,152,2,(30),1000,50,16,256
