beta,gamma,delta,Size
17.30502,2.860167,1.070293,5
17.915277,2.877113,1.0746813,5
17.230812,2.8777986,1.0825319,5
17.386282,2.8601205,1.0704525,5
8.59005,2.713832,1.1072485,5
9.343717,2.7176664,1.116821,5
17.724607,2.8785465,1.075603,5
13.913818,2.8640664,1.0903414,5
14.255684,2.8285859,1.095108,5
16.635887,2.904099,1.0951853,5
14.978658,2.8339503,1.0961987,5
17.870752,2.8543584,1.0701193,5
15.898952,2.8733525,1.0866433,5
16.496195,2.8913584,1.0939183,5
16.810944,2.8423553,1.0732956,5
18.076202,2.9081469,1.0706449,5
15.990597,2.8508327,1.0747671,5
17.539734,2.8638475,1.0702299,5
18.242893,2.87369,1.0764687,5
16.844395,2.902061,1.0966891,5
17.293753,2.8438032,1.0753878,5
16.5351,2.8550382,1.0758512,5
15.798652,2.876023,1.1048477,5
17.738989,2.8491964,1.0662743,5
14.887529,2.8558316,1.1020275,5
16.088905,2.8754284,1.099774,5
15.595959,2.8876443,1.10276,5
14.065897,2.8148532,1.090909,5
15.899539,2.8830729,1.1023985,5
16.194021,2.8892004,1.1079985,5
13.959326,2.8170116,1.1040508,15
14.893088,2.8522928,1.095378,15
13.465025,2.822337,1.0974047,15
15.292505,2.872987,1.1001503,15
13.528735,2.8280573,1.1144363,15
15.154319,2.880269,1.1061822,15
17.116161,2.9024112,1.0852251,15
13.045179,2.7901819,1.1054934,15
12.304424,2.7635894,1.099372,15
15.957438,2.8917933,1.0992987,15
14.218812,2.8249543,1.1026034,15
15.268172,2.872014,1.0967617,15
14.445366,2.8407135,1.1083144,15
14.819635,2.861355,1.096884,15
14.503395,2.8625052,1.1078151,15
15.9119215,2.8840032,1.0935452,15
13.173613,2.7965417,1.1010263,15
11.957015,2.747703,1.1048669,15
15.784729,2.888453,1.0974791,15
14.472769,2.844646,1.1068432,15
14.410353,2.8484337,1.1100503,15
12.846131,2.7915444,1.108768,15
15.663547,2.8848248,1.102322,15
14.945917,2.8490214,1.0905391,15
16.66152,2.89951,1.0960395,15
15.51893,2.8783307,1.106273,15
14.306645,2.8289235,1.1052221,15
15.80442,2.8725917,1.0891063,15
13.697716,2.8247275,1.1072019,15
13.955984,2.8402233,1.1103766,15
15.096692,2.8520741,1.0989968,25
15.954608,2.8970232,1.1039895,25
15.083968,2.8453178,1.0940206,25
12.0601845,2.7469268,1.101803,25
15.20807,2.8283107,1.0998584,25
12.991648,2.8075013,1.1130247,25
13.738325,2.8125613,1.1060227,25
14.850467,2.8589969,1.107205,25
14.697785,2.8434896,1.0946004,25
15.50877,2.8860452,1.106066,25
15.651245,2.8789885,1.092134,25
14.654534,2.8607535,1.1019541,25
14.001942,2.8359153,1.0987631,25
16.270796,2.8892703,1.0971798,25
13.9146,2.8132184,1.0947331,25
13.609162,2.8285968,1.1119475,25
15.160313,2.8602657,1.104036,25
14.833327,2.8181562,1.0963205,25
15.322888,2.8779755,1.110114,25
13.288318,2.8063784,1.1111857,25
15.013789,2.87311,1.1047846,25
15.526421,2.857957,1.0896171,25
15.564526,2.8698318,1.0972902,25
15.270659,2.864237,1.0999686,25
12.402845,2.791418,1.1140606,25
13.824574,2.800164,1.085631,25
15.265581,2.8744652,1.0959673,25
13.819748,2.8385146,1.1123772,25
14.472979,2.8633995,1.1102145,25
14.674592,2.8398025,1.1021646,25
