width,batch-time,learning-rate,reg-param,parameter-index,sample,replicate,unknown_param_train_rmse,unknown_param_test_rmse,unknown_param_attempts,unknown_param_err
5.0,32.0,0.1,0.0,10.0,19.0,1.0,0.11934933066368103,0.17685745656490326,1,42.51966160739719
5.0,32.0,0.1,10.0,10.0,3.0,2.0,0.32584741711616516,0.6726866960525513,2,25.578576969894243
5.0,32.0,0.1,1.0,10.0,8.0,3.0,0.16002492606639862,0.1030813530087471,1,23.014526486276967
5.0,32.0,0.1,0.1,4.0,19.0,3.0,0.23289960622787476,0.21363601088523865,1,31.322577492222965
5.0,32.0,0.1,0.1,7.0,13.0,3.0,0.2239612340927124,0.22045917809009552,1,28.5815607077638
5.0,32.0,0.1,1.0,3.0,2.0,2.0,,,50,
5.0,32.0,0.1,1.0,10.0,13.0,3.0,0.2663351893424988,0.28493934869766235,1,29.45736232130192
5.0,32.0,0.1,10.0,3.0,15.0,3.0,0.16176283359527588,0.09833955764770508,10,63.56797501984695
5.0,32.0,0.1,0.1,2.0,15.0,3.0,0.15586243569850922,0.24789780378341675,1,34.61308290426568
5.0,32.0,0.1,0.0,8.0,11.0,3.0,0.1570441722869873,0.2878294289112091,1,29.759444200584515
5.0,32.0,0.1,1.0,3.0,3.0,3.0,0.1500072032213211,0.1265275925397873,1,51.8473421524067
5.0,32.0,0.1,10.0,6.0,16.0,2.0,0.2761620879173279,0.2315552979707718,1,36.33518362462899
5.0,32.0,0.1,0.0,7.0,1.0,1.0,0.14485566318035126,0.17862072587013245,11,21.648812823884434
5.0,32.0,0.1,0.1,1.0,16.0,1.0,0.278149276971817,0.32228779792785645,1,27.798024342463105
5.0,32.0,0.1,1.0,1.0,18.0,3.0,0.2761338949203491,0.19155830144882202,1,32.269122955162224
5.0,32.0,0.1,10.0,7.0,4.0,1.0,0.43197014927864075,0.42744484543800354,1,41.616983411279975
5.0,32.0,0.1,10.0,3.0,5.0,1.0,0.2060738354921341,0.1328336000442505,1,50.027244836434065
5.0,32.0,0.1,1.0,2.0,9.0,3.0,0.3786519169807434,0.30765998363494873,1,20.43353380444341
5.0,32.0,0.1,1.0,1.0,6.0,1.0,0.18395519256591797,0.10050814598798752,1,34.82016884446641
5.0,32.0,0.1,0.1,4.0,0.0,1.0,0.3499404489994049,0.3999280035495758,1,33.828103867536
5.0,32.0,0.1,1.0,4.0,10.0,2.0,0.3379928469657898,0.2243572622537613,1,37.145637106373194
5.0,32.0,0.1,0.0,0.0,10.0,3.0,,,50,
5.0,32.0,0.1,0.0,0.0,14.0,3.0,,,50,
5.0,32.0,0.1,1.0,4.0,2.0,1.0,0.2006589025259018,0.13991831243038177,1,33.886613877947916
5.0,32.0,0.1,0.1,1.0,12.0,3.0,0.4327777922153473,0.39948081970214844,13,28.565251546572217
5.0,32.0,0.1,10.0,9.0,5.0,2.0,0.11487326771020889,0.12224941700696945,1,36.06137175859171
5.0,32.0,0.1,10.0,0.0,13.0,2.0,0.10340823978185654,0.0928310751914978,1,23.20880400394857
5.0,32.0,0.1,0.1,8.0,5.0,2.0,0.32322925329208374,0.18793675303459167,1,36.33665590528617
5.0,32.0,0.1,1.0,9.0,15.0,2.0,0.13153579831123352,0.1368594765663147,1,22.11173020129017
5.0,32.0,0.1,10.0,10.0,4.0,2.0,0.12030036747455597,0.29156333208084106,1,30.945258616067253
5.0,32.0,0.1,1.0,5.0,1.0,3.0,0.19310714304447174,0.19301463663578033,1,32.013971875010895
5.0,32.0,0.1,10.0,5.0,6.0,2.0,0.28487807512283325,0.2740987539291382,1,19.25511960314523
5.0,32.0,0.1,1.0,2.0,17.0,3.0,,,50,
5.0,32.0,0.1,10.0,8.0,2.0,1.0,0.2830704152584076,0.32061871886253357,1,32.503686502307886
5.0,32.0,0.1,0.1,5.0,0.0,2.0,0.28808027505874634,0.2301148623228073,4,31.015216453517525
5.0,32.0,0.1,1.0,2.0,11.0,2.0,0.23865725100040436,0.11459387838840485,1,24.563050920219116
5.0,32.0,0.1,1.0,5.0,19.0,2.0,0.33346185088157654,0.31053072214126587,2,32.93940271757923
5.0,32.0,0.1,0.1,0.0,0.0,2.0,0.336602121591568,0.20041650533676147,50,28.91469765897789
5.0,32.0,0.1,10.0,10.0,0.0,2.0,,,17,12.093140969182159
5.0,32.0,0.1,10.0,10.0,6.0,1.0,0.21538278460502625,0.28098493814468384,1,31.92651120122592
5.0,32.0,0.1,10.0,10.0,1.0,3.0,0.5167090892791748,0.6301621198654175,2,20.010656950505787
5.0,32.0,0.1,0.1,3.0,19.0,1.0,,,50,
5.0,32.0,0.1,1.0,0.0,10.0,3.0,0.23018953204154968,0.13325361907482147,1,27.867421160089226
5.0,32.0,0.1,10.0,2.0,10.0,3.0,0.34596455097198486,0.3271808624267578,1,21.0233189697499
5.0,32.0,0.1,1.0,10.0,12.0,2.0,0.28209659457206726,0.27393531799316406,1,30.02319434540921
5.0,32.0,0.1,1.0,5.0,8.0,1.0,0.46668726205825806,0.45178985595703125,1,23.673565440447145
5.0,32.0,0.1,1.0,4.0,17.0,2.0,0.1630847305059433,0.11625582724809647,1,28.019313021080755
5.0,32.0,0.1,10.0,2.0,3.0,3.0,0.23951874673366547,0.17227330803871155,1,26.70760505021697
5.0,32.0,0.1,0.1,5.0,17.0,1.0,0.1463494598865509,0.14098615944385529,1,23.766148741686813
5.0,32.0,0.1,0.1,1.0,7.0,2.0,0.14357367157936096,0.10533960163593292,1,27.183356713834335
5.0,32.0,0.1,0.1,6.0,11.0,1.0,0.3295324444770813,0.18647260963916779,1,26.766842604412727
5.0,32.0,0.1,0.0,4.0,9.0,2.0,0.17491193115711212,0.11539193987846375,1,29.108619110767002
5.0,32.0,0.1,0.0,8.0,16.0,2.0,0.14458812773227692,0.10857679694890976,1,27.446072001732592
5.0,32.0,0.1,10.0,8.0,10.0,1.0,0.16883021593093872,0.1843591183423996,1,32.20798211047425
5.0,32.0,0.1,1.0,6.0,14.0,3.0,0.14210066199302673,0.45728248357772827,1,26.26861277524175
5.0,32.0,0.1,1.0,6.0,8.0,2.0,0.19924509525299072,0.09265115112066269,1,25.252061161109026
5.0,32.0,0.1,0.0,4.0,4.0,1.0,0.17493197321891785,0.1576308012008667,1,36.904320464169714
5.0,32.0,0.1,10.0,7.0,0.0,1.0,0.4073021411895752,0.18629597127437592,1,41.381213510908765
5.0,32.0,0.1,10.0,2.0,5.0,1.0,0.3760760426521301,0.3540237843990326,1,29.10310849036636
5.0,32.0,0.1,10.0,6.0,13.0,1.0,0.3889802098274231,0.2747083008289337,1,29.157467245516298
5.0,32.0,0.1,10.0,2.0,2.0,2.0,0.21270672976970673,0.2504931688308716,1,24.545497878986758
5.0,32.0,0.1,10.0,4.0,3.0,1.0,0.428546667098999,0.49925392866134644,1,39.5623981936705
5.0,32.0,0.1,10.0,7.0,6.0,3.0,0.23630240559577942,0.15116000175476074,1,27.948155882229866
5.0,32.0,0.1,0.0,7.0,9.0,3.0,0.18596181273460388,0.17522332072257996,1,28.299906352725362
5.0,32.0,0.1,0.1,8.0,13.0,2.0,0.16906586289405823,0.15572650730609894,1,31.653413283058626
5.0,32.0,0.1,0.0,1.0,0.0,1.0,0.2541024684906006,0.21768265962600708,1,35.69187374374721
5.0,32.0,0.1,0.1,2.0,14.0,2.0,0.3462807238101959,0.17678052186965942,1,24.126539575279786
5.0,32.0,0.1,10.0,4.0,15.0,3.0,0.20785795152187347,0.14380773901939392,1,32.52967236906508
5.0,32.0,0.1,0.1,9.0,6.0,1.0,0.3100360333919525,0.3467642366886139,1,35.68996472595692
5.0,32.0,0.1,0.1,3.0,0.0,2.0,0.22041456401348114,0.3668213486671448,1,64.85534151971059
5.0,32.0,0.1,0.0,5.0,17.0,1.0,0.15708328783512115,0.11135651916265488,3,23.59256416376811
5.0,32.0,0.1,0.1,8.0,15.0,1.0,0.10507280379533768,0.0771118625998497,4,34.38549147546122
5.0,32.0,0.1,10.0,0.0,10.0,3.0,0.333785742521286,0.1943730264902115,1,35.35490812688505
5.0,32.0,0.1,10.0,0.0,5.0,1.0,0.2659085690975189,0.19094255566596985,1,28.705650950381962
5.0,32.0,0.1,0.1,8.0,9.0,3.0,0.19521309435367584,0.10827846080064774,1,32.53629997669567
5.0,32.0,0.1,10.0,3.0,5.0,2.0,0.3131428062915802,0.24598944187164307,1,48.16495622760311
5.0,32.0,0.1,0.0,10.0,1.0,2.0,,,50,
5.0,32.0,0.1,10.0,1.0,18.0,2.0,0.15832103788852692,0.1563553363084793,2,30.549347016908534
5.0,32.0,0.1,0.0,2.0,14.0,2.0,0.2720886468887329,0.11915338039398193,1,27.952803280119607
5.0,32.0,0.1,0.1,5.0,15.0,3.0,0.1085660308599472,0.10295650362968445,1,23.110705037054878
5.0,32.0,0.1,0.1,1.0,4.0,3.0,0.3040270507335663,0.23474694788455963,1,27.794470484952388
5.0,32.0,0.1,0.1,6.0,8.0,3.0,0.21822544932365417,0.20677819848060608,1,37.80748192950606
5.0,32.0,0.1,0.0,10.0,0.0,1.0,0.4941785931587219,0.6168140769004822,41,31.183898338082553
5.0,32.0,0.1,10.0,5.0,2.0,1.0,0.20341536402702332,0.09288670867681503,1,32.666276556031406
5.0,32.0,0.1,1.0,5.0,6.0,2.0,0.13140623271465302,0.18591316044330597,1,26.978802712893067
5.0,32.0,0.1,0.0,5.0,1.0,3.0,0.1641997992992401,0.07126364856958389,1,26.428370598634512
5.0,32.0,0.1,0.1,7.0,12.0,2.0,0.29256105422973633,0.2842022776603699,1,20.635769268922942
5.0,32.0,0.1,0.1,6.0,0.0,2.0,0.10884968191385269,0.09203106164932251,1,44.488243412646504
5.0,32.0,0.1,0.0,9.0,2.0,3.0,0.20362809300422668,0.1537073701620102,1,30.278448370323915
5.0,32.0,0.1,10.0,1.0,14.0,1.0,0.23475220799446106,0.21196424961090088,1,27.211096719470852
5.0,32.0,0.1,0.0,3.0,3.0,1.0,0.2085418552160263,0.11586279422044754,1,52.00736397243109
5.0,32.0,0.1,0.1,9.0,13.0,3.0,0.15672379732131958,0.18455661833286285,1,29.766769182089917
5.0,32.0,0.1,0.1,9.0,4.0,1.0,0.13284072279930115,0.11436211317777634,1,23.280221402303788
5.0,32.0,0.1,0.0,6.0,5.0,2.0,0.18435440957546234,0.13981401920318604,1,27.17329508077037
5.0,32.0,0.1,10.0,4.0,9.0,1.0,0.14275893568992615,0.2602284252643585,1,27.338390673977933
5.0,32.0,0.1,0.1,6.0,4.0,1.0,0.12140192091464996,0.0946178287267685,1,25.251762647286082
5.0,32.0,0.1,1.0,1.0,10.0,3.0,0.273237943649292,0.3824324607849121,1,32.34474968064738
5.0,32.0,0.1,0.1,1.0,15.0,1.0,0.6282967925071716,0.6897732019424438,1,32.12774055694953
5.0,32.0,0.1,10.0,0.0,1.0,3.0,0.11596614122390747,0.08216246217489243,1,35.16239151698525
5.0,32.0,0.1,0.1,8.0,12.0,2.0,0.12861937284469604,0.08629846572875977,1,32.13823471825132
5.0,32.0,0.1,10.0,5.0,1.0,1.0,0.28039100766181946,0.1595555543899536,1,32.67637274917725
5.0,32.0,0.1,0.0,6.0,4.0,1.0,0.18462444841861725,0.08188185840845108,1,23.62549038803305
5.0,32.0,0.1,10.0,0.0,15.0,1.0,0.193088099360466,0.1293317973613739,1,29.137729286007755
5.0,32.0,0.1,10.0,1.0,2.0,2.0,0.11214142292737961,0.08770015835762024,1,30.302137780282962
5.0,32.0,0.1,0.1,8.0,13.0,1.0,0.18307426571846008,0.13475406169891357,1,33.68674018130332
5.0,32.0,0.1,1.0,2.0,14.0,2.0,0.2011491060256958,0.3038230836391449,1,31.560445136226203
5.0,32.0,0.1,10.0,3.0,13.0,2.0,,,50,
5.0,32.0,0.1,0.0,4.0,1.0,1.0,0.10936364531517029,0.08066025376319885,1,31.755475134723902
5.0,32.0,0.1,0.1,7.0,10.0,1.0,0.4151120185852051,0.2572324573993683,1,34.28475809891264
5.0,32.0,0.1,1.0,0.0,0.0,2.0,0.2748458981513977,0.2466321587562561,1,38.000778322743336
5.0,32.0,0.1,10.0,4.0,15.0,1.0,0.31060341000556946,0.2808127701282501,1,38.97412749004661
5.0,32.0,0.1,0.0,0.0,18.0,1.0,0.28087863326072693,0.274721622467041,1,30.855325366127957
5.0,32.0,0.1,1.0,5.0,16.0,3.0,0.12376925349235535,0.17806416749954224,1,30.148009932494283
5.0,32.0,0.1,0.1,9.0,12.0,2.0,0.25458765029907227,0.1485738456249237,1,31.564737659801786
5.0,32.0,0.1,10.0,8.0,10.0,3.0,0.15736371278762817,0.14559711515903473,1,32.98062107483434
5.0,32.0,0.1,10.0,6.0,4.0,3.0,0.2859659194946289,0.19961248338222504,1,29.40952296385411
5.0,32.0,0.1,10.0,2.0,13.0,3.0,0.11930744349956512,0.09997941553592682,1,27.31303987761745
5.0,32.0,0.1,1.0,4.0,16.0,2.0,0.17891447246074677,0.13514944911003113,1,22.369344786916443
5.0,32.0,0.1,0.0,5.0,18.0,2.0,0.31318482756614685,0.11899183690547943,1,28.650239421506438
5.0,32.0,0.1,0.0,3.0,16.0,1.0,0.214826762676239,0.19723255932331085,2,76.2068568704247
5.0,32.0,0.1,10.0,4.0,8.0,2.0,0.2612364590167999,0.1866247057914734,1,40.13110990106296
5.0,32.0,0.1,0.0,10.0,18.0,1.0,0.09506390243768692,0.17479227483272552,1,35.51475375911399
5.0,32.0,0.1,0.1,10.0,3.0,2.0,0.2395460158586502,0.35091090202331543,7,18.18510248467429
5.0,32.0,0.1,10.0,10.0,19.0,3.0,,,50,
