Train Loss,Test Loss,Replicate,Size
0.07619737088680267,0.0894695371389389,0,5
0.05782646685838699,0.05773737281560898,1,5
0.05753876641392708,0.05069798231124878,2,5
0.06463726609945297,0.08108339458703995,3,5
0.05616295710206032,0.04849427938461304,4,5
0.06094392389059067,0.05995803698897362,5,5
0.06367017328739166,0.08681638538837433,6,5
0.07258068025112152,0.06503035128116608,7,5
0.0544310100376606,0.047725025564432144,8,5
0.05646313726902008,0.054543666541576385,9,5
0.06650395691394806,0.07824923098087311,10,5
0.06763071566820145,0.09402994811534882,11,5
0.07064659148454666,0.09260629117488861,12,5
0.08887279033660889,0.10256907343864441,13,5
0.05437906086444855,0.06409098953008652,14,5
0.05751090124249458,0.05561321601271629,15,5
0.0699777826666832,0.0907733216881752,16,5
0.05746264010667801,0.06199797987937927,17,5
0.054184459149837494,0.05003562569618225,18,5
0.08817004412412643,0.13415983319282532,19,5
0.06927332282066345,0.0930185317993164,20,5
0.062390029430389404,0.08417318761348724,21,5
0.07367958873510361,0.09898082911968231,22,5
0.0554145909845829,0.0473061203956604,23,5
0.06707333028316498,0.06080980226397514,24,5
0.059374015778303146,0.061860956251621246,25,5
0.0711430236697197,0.09615416079759598,26,5
0.06225191801786423,0.07172542810440063,27,5
0.056901637464761734,0.04837612435221672,28,5
0.06554427742958069,0.073551706969738,29,5
0.061060354113578796,0.0753789022564888,0,10
0.05335385724902153,0.0528750978410244,1,10
0.056174300611019135,0.052840132266283035,2,10
0.05856112763285637,0.07205016911029816,3,10
0.0496985986828804,0.04378584399819374,4,10
0.06984997540712357,0.09281964600086212,5,10
0.05539528653025627,0.0552181601524353,6,10
0.05589310824871063,0.0477006621658802,7,10
0.06841304153203964,0.08652408421039581,8,10
0.06973247230052948,0.09995543211698532,9,10
0.06649786233901978,0.09740453958511353,10,10
0.05949369817972183,0.052607424557209015,11,10
0.04869617521762848,0.047135449945926666,12,10
0.05134847015142441,0.04877425357699394,13,10
0.05976581573486328,0.06852604448795319,14,10
0.05617920681834221,0.05164850503206253,15,10
0.05268791317939758,0.047197531908750534,16,10
0.05901176482439041,0.06760434806346893,17,10
0.06309002637863159,0.05214398726820946,18,10
0.06944460421800613,0.06672264635562897,19,10
0.08226373046636581,0.10110088437795639,20,10
0.05969807505607605,0.06757844239473343,21,10
0.05892888829112053,0.051280684769153595,22,10
0.05583285540342331,0.056308187544345856,23,10
0.07903178036212921,0.11302594840526581,24,10
0.055643800646066666,0.05588703602552414,25,10
0.05742522329092026,0.05154617875814438,26,10
0.05759517848491669,0.05686253681778908,27,10
0.057402122765779495,0.057107243686914444,28,10
0.0537058524787426,0.04805881157517433,29,10
0.11008250713348389,0.17757339775562286,0,15
0.05143221467733383,0.049739863723516464,1,15
0.06235504150390625,0.05820603296160698,2,15
0.058064062148332596,0.06329193711280823,3,15
0.06655638664960861,0.07766950875520706,4,15
0.05722697079181671,0.05230513960123062,5,15
0.05925837531685829,0.07004482299089432,6,15
0.053575679659843445,0.05758402496576309,7,15
0.0662464126944542,0.06457801908254623,8,15
0.7197402715682983,0.6095736026763916,9,15
0.06986082345247269,0.08323738723993301,10,15
0.062305159866809845,0.07419262826442719,11,15
0.05719606578350067,0.062248360365629196,12,15
0.05142838507890701,0.043278295546770096,13,15
,,14,15
,,15,15
,,16,15
0.05233610421419144,0.050749875605106354,17,15
0.06422138959169388,0.08607981353998184,18,15
0.05289902538061142,0.0539630763232708,19,15
0.05152212828397751,0.04787618666887283,20,15
0.06647061556577682,0.0920661985874176,21,15
0.0530257374048233,0.047419965267181396,22,15
0.05696547031402588,0.05108683183789253,23,15
0.056556202471256256,0.06295669078826904,24,15
0.056286267936229706,0.05388353392481804,25,15
0.06579715758562088,0.0925547257065773,26,15
0.05974550172686577,0.05117618665099144,27,15
0.05767796188592911,0.059906892478466034,28,15
0.05906614661216736,0.06829258799552917,29,15
,,0,20
0.052982937544584274,0.04839903488755226,1,20
0.0784834772348404,0.11570379137992859,2,20
,,3,20
,,4,20
,,5,20
0.09700915217399597,0.15588116645812988,6,20
,,7,20
,,8,20
0.05900317057967186,0.0660451278090477,9,20
,,10,20
,,11,20
0.09383729100227356,0.10334199666976929,12,20
0.06334841251373291,0.08628375828266144,13,20
,,14,20
,,15,20
,,16,20
,,17,20
0.06720633804798126,0.07614143937826157,18,20
0.4144919216632843,0.4174429476261139,19,20
,,20,20
0.05356463044881821,0.05000823736190796,21,20
0.07372565567493439,0.09632112830877304,22,20
,,23,20
1.516353726387024,1.8425599336624146,24,20
,,25,20
,,26,20
,,27,20
,,28,20
0.10826700180768967,0.18018123507499695,29,20
,,0,25
,,1,25
,,2,25
,,3,25
,,4,25
,,5,25
,,6,25
,,7,25
,,8,25
0.12630212306976318,0.1413230150938034,9,25
,,10,25
,,11,25
4.548897743225098,3.9290215969085693,12,25
,,13,25
0.5538378357887268,0.890388548374176,14,25
5.564056396484375,7.009749889373779,15,25
,,16,25
,,17,25
,,18,25
,,19,25
,,20,25
0.668313205242157,0.6639882326126099,21,25
,,22,25
0.5504434704780579,0.4538331925868988,23,25
,,24,25
0.48415902256965637,0.36580464243888855,25,25
,,26,25
,,27,25
,,28,25
,,29,25
1.0979387760162354,,0,30
,,1,30
,,2,30
,,3,30
,,4,30
,,5,30
7.688596248626709,18.505067825317383,6,30
,,7,30
,,8,30
,,9,30
,,10,30
,,11,30
,,12,30
,,13,30
,,14,30
,,15,30
,,16,30
,,17,30
3.8328230381011963,1.6886192560195923,18,30
,,19,30
21.951072692871094,33.084190368652344,20,30
,,21,30
,,22,30
,,23,30
0.7225687503814697,0.5803295969963074,24,30
,,25,30
,,26,30
,,27,30
0.3837835192680359,0.35904353857040405,28,30
,,29,30
