beta,gamma,delta,Size
17.30502,2.860167,1.070293,5
17.915277,2.877113,1.0746813,5
17.230812,2.8777986,1.0825319,5
17.386282,2.8601205,1.0704525,5
8.59005,2.713832,1.1072485,5
9.343717,2.7176664,1.116821,5
17.724607,2.8785465,1.075603,5
13.913818,2.8640664,1.0903414,5
14.255684,2.8285859,1.095108,5
16.635887,2.904099,1.0951853,5
14.978658,2.8339503,1.0961987,5
17.870752,2.8543584,1.0701193,5
15.898952,2.8733525,1.0866433,5
16.496195,2.8913584,1.0939183,5
16.810944,2.8423553,1.0732956,5
18.076202,2.9081469,1.0706449,5
15.990597,2.8508327,1.0747671,5
17.539734,2.8638475,1.0702299,5
18.242893,2.87369,1.0764687,5
16.844395,2.902061,1.0966891,5
17.293753,2.8438032,1.0753878,5
16.5351,2.8550382,1.0758512,5
15.798652,2.876023,1.1048477,5
17.738989,2.8491964,1.0662743,5
14.887529,2.8558316,1.1020275,5
16.088905,2.8754284,1.099774,5
15.595959,2.8876443,1.10276,5
14.065897,2.8148532,1.090909,5
15.899539,2.8830729,1.1023985,5
16.194021,2.8892004,1.1079985,5
17.30502,2.860167,1.070293,15
17.915277,2.877113,1.0746813,15
17.230812,2.8777986,1.0825319,15
17.386282,2.8601205,1.0704525,15
8.59005,2.713832,1.1072485,15
9.343717,2.7176664,1.116821,15
17.724607,2.8785465,1.075603,15
13.913818,2.8640664,1.0903414,15
14.255684,2.8285859,1.095108,15
16.635887,2.904099,1.0951853,15
14.978658,2.8339503,1.0961987,15
17.870752,2.8543584,1.0701193,15
15.898952,2.8733525,1.0866433,15
16.496195,2.8913584,1.0939183,15
16.810944,2.8423553,1.0732956,15
18.076202,2.9081469,1.0706449,15
15.990597,2.8508327,1.0747671,15
17.539734,2.8638475,1.0702299,15
18.242893,2.87369,1.0764687,15
16.844395,2.902061,1.0966891,15
17.293753,2.8438032,1.0753878,15
16.5351,2.8550382,1.0758512,15
15.798652,2.876023,1.1048477,15
17.738989,2.8491964,1.0662743,15
14.887529,2.8558316,1.1020275,15
16.088905,2.8754284,1.099774,15
15.595959,2.8876443,1.10276,15
14.065897,2.8148532,1.090909,15
15.899539,2.8830729,1.1023985,15
16.194021,2.8892004,1.1079985,15
17.30502,2.860167,1.070293,25
17.915277,2.877113,1.0746813,25
17.230812,2.8777986,1.0825319,25
17.386282,2.8601205,1.0704525,25
8.59005,2.713832,1.1072485,25
9.343717,2.7176664,1.116821,25
17.724607,2.8785465,1.075603,25
13.913818,2.8640664,1.0903414,25
14.255684,2.8285859,1.095108,25
16.635887,2.904099,1.0951853,25
14.978658,2.8339503,1.0961987,25
17.870752,2.8543584,1.0701193,25
15.898952,2.8733525,1.0866433,25
16.496195,2.8913584,1.0939183,25
16.810944,2.8423553,1.0732956,25
18.076202,2.9081469,1.0706449,25
15.990597,2.8508327,1.0747671,25
17.539734,2.8638475,1.0702299,25
18.242893,2.87369,1.0764687,25
16.844395,2.902061,1.0966891,25
17.293753,2.8438032,1.0753878,25
16.5351,2.8550382,1.0758512,25
15.798652,2.876023,1.1048477,25
17.738989,2.8491964,1.0662743,25
14.887529,2.8558316,1.1020275,25
16.088905,2.8754284,1.099774,25
15.595959,2.8876443,1.10276,25
14.065897,2.8148532,1.090909,25
15.899539,2.8830729,1.1023985,25
16.194021,2.8892004,1.1079985,25
